pengajuan_id,nasabah_id,platform_id,platform_tipe,tgl_pengajuan,tipe_produk,tujuan,jumlah_diajukan,tenor_bln,lama_platform_bln,platform_ontime_rate,n_pinjaman_sebelumnya,n_lancar,n_macet,avg_telat_hari,listrik_pct_tepat,ew_aktif_bln,ew_trx_per_bln,ew_spike,is_gig,gig_income_avg,gig_konsisten,gig_cancel_rate,punya_rekening,bpjs_rutin,punya_toko_online,omzet_toko_online,skor_ai,kategori_risiko,rekomendasi,prob_default,label_default,faktor_positif,faktor_negatif
L1AJN00011,L1NSB00011,PLT005,P2P Lending,2024-04-19,P2P Lending,Konsumsi,2000000,9,11,0.79,1,1,0,3.0,100.0,9,70,0,1,0,0,0.0,1,0,0,0,76,Rendah,Setujui,0.139,0,On-time rate 79% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 100.0% tepat waktu (+7),5 tanggungan (-5)
L1AJN00012,L1NSB00012,PLT002,P2P Lending,2024-05-26,P2P Lending,Pendidikan,500000,3,32,0.86,0,0,0,0.0,66.7,17,8,0,1,7908000,0,0.14,1,1,0,0,66,Menengah,Setujui,0.197,0,Aktif di platform 32 bulan (+7) | On-time rate 86% (+5) | E-wallet aktif 17 bulan (+5) | Punya rekening bank (+4),4 tanggungan (-5) | Cancel rate gig 14% (-4)
L1AJN00013,L1NSB00013,PLT002,P2P Lending,2024-10-19,P2P Lending,Pendidikan,500000,12,20,0.81,1,1,0,3.0,66.7,20,55,0,0,0,0,0.0,0,1,1,18000000,89,Rendah,Setujui,0.064,1,Aktif di platform 20 bulan (+7) | On-time rate 81% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00014,L1NSB00014,PLT003,Multifinance,2024-05-31,Multifinance,Mesin usaha,7000000,18,15,0.56,1,0,0,40.0,79.2,13,45,0,1,6599000,1,0.03,0,0,0,0,75,Rendah,Setujui,0.145,0,Aktif di platform 15 bulan (+7) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3) | E-wallet aktif 13 bulan (+5),Rata-rata telat 40 hari (-10)
L1AJN00015,L1NSB00015,PLT005,P2P Lending,2024-02-19,P2P Lending,Pendidikan,3000000,1,31,0.75,0,0,0,0.0,58.3,0,0,0,1,3039000,1,0.11,0,1,0,0,74,Rendah,Setujui,0.151,0,Aktif di platform 31 bulan (+7) | On-time rate 75% (+5) | Income gig konsisten 6 bulan (+8) | Rating gig 4.6 (+5),Cancel rate gig 11% (-4)
L1AJN00016,L1NSB00016,PLT001,P2P Lending,2024-12-19,P2P Lending,Renovasi,5000000,12,7,0.71,2,2,0,0.5,70.8,0,0,0,1,7895000,1,0.09,1,0,0,0,76,Rendah,Setujui,0.139,0,2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Income gig konsisten 6 bulan (+8) | Rating gig 4.9 (+5),4 tanggungan (-5)
L1AJN00017,L1NSB00017,PLT005,P2P Lending,2024-08-29,P2P Lending,Pendidikan,500000,9,16,0.82,2,2,0,1.0,100.0,8,73,0,1,4026000,1,0.02,0,0,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 16 bulan (+7) | On-time rate 82% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),5 tanggungan (-5)
L1AJN00018,L1NSB00018,PLT003,Multifinance,2024-03-20,Multifinance,Motor baru,3000000,18,13,0.6,1,1,0,3.0,100.0,11,71,0,0,0,0,0.0,1,1,0,0,90,Rendah,Setujui,0.058,1,Aktif di platform 13 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 100.0% tepat waktu (+7),
L1AJN00019,L1NSB00019,PLT004,Multifinance,2024-03-09,Multifinance,Elektronik,20000000,36,4,0.84,2,2,0,1.0,91.7,0,0,0,1,2728000,1,0.02,0,0,0,0,85,Rendah,Setujui,0.087,0,On-time rate 84% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7),
L1AJN00020,L1NSB00020,PLT001,P2P Lending,2024-04-08,P2P Lending,Modal usaha,2000000,6,34,0.57,2,2,0,2.0,95.8,17,24,0,1,0,0,0.0,1,0,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 34 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 95.8% tepat waktu (+7),
L1AJN00021,L1NSB00021,PLT003,Multifinance,2024-03-02,Multifinance,Mesin usaha,7000000,12,30,0.76,3,3,0,0.7,66.7,21,30,0,0,0,0,0.0,0,1,0,0,92,Rendah,Setujui,0.046,0,Aktif di platform 30 bulan (+7) | On-time rate 76% (+5) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7),
L1AJN00022,L1NSB00022,PLT001,P2P Lending,2024-05-06,P2P Lending,Konsumsi,5000000,12,11,0.86,2,2,0,1.5,62.5,15,8,0,0,0,0,0.0,0,1,0,0,78,Rendah,Setujui,0.128,1,On-time rate 86% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | E-wallet aktif 15 bulan (+5),
L1AJN00023,L1NSB00023,PLT005,P2P Lending,2024-02-05,P2P Lending,Konsumsi,500000,9,9,0.88,3,2,0,13.0,70.8,21,37,0,0,0,0,0.0,1,0,0,0,83,Rendah,Setujui,0.099,0,On-time rate 88% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | E-wallet aktif 21 bulan (+5),
L1AJN00024,L1NSB00024,PLT002,P2P Lending,2024-02-23,P2P Lending,Modal usaha,1000000,3,32,0.9,0,0,0,0.0,100.0,14,53,0,0,0,0,0.0,0,1,0,0,81,Rendah,Setujui,0.11,1,Aktif di platform 32 bulan (+7) | On-time rate 90% (+10) | Listrik 100.0% tepat waktu (+7) | E-wallet aktif 14 bulan (+5),
L1AJN00025,L1NSB00025,PLT002,P2P Lending,2024-12-19,P2P Lending,Pendidikan,5000000,6,29,0.94,3,3,0,1.0,87.5,23,34,0,1,5014000,0,0.07,0,1,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 29 bulan (+7) | On-time rate 94% (+10) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7),
L1AJN00026,L1NSB00026,PLT004,Multifinance,2024-05-10,Multifinance,Elektronik,10000000,24,3,0.84,2,2,0,0.5,91.7,0,0,0,1,5274000,1,0.08,0,1,0,0,86,Rendah,Setujui,0.081,0,On-time rate 84% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7),
L1AJN00027,L1NSB00027,PLT002,P2P Lending,2024-08-17,P2P Lending,Modal usaha,3000000,9,27,0.91,3,2,0,24.7,91.7,15,36,0,0,0,0,0.0,0,0,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 27 bulan (+7) | On-time rate 91% (+10) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),4 tanggungan (-5)
L1AJN00028,L1NSB00028,PLT003,Multifinance,2024-01-31,Multifinance,Elektronik,5000000,36,3,0.64,1,1,0,2.0,95.8,0,0,0,1,4114000,1,0.11,1,0,0,0,74,Rendah,Setujui,0.151,0,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 95.8% tepat waktu (+7) | Income gig konsisten 6 bulan (+8),Cancel rate gig 11% (-4)
L1AJN00029,L1NSB00029,PLT003,Multifinance,2024-03-30,Multifinance,Mesin usaha,5000000,18,18,0.99,0,0,0,0.0,87.5,11,30,0,0,0,0,0.0,1,0,0,0,78,Rendah,Setujui,0.128,0,Aktif di platform 18 bulan (+7) | On-time rate 99% (+10) | Listrik 87.5% tepat waktu (+3) | Transaksi e-wallet 30/bln (+3),
L1AJN00030,L1NSB00030,PLT002,P2P Lending,2024-12-26,P2P Lending,Pendidikan,500000,12,7,0.7,2,1,0,5.0,79.2,6,35,1,1,0,0,0.0,1,0,0,0,63,Menengah,Setujui,0.215,0,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3) | Transaksi e-wallet 35/bln (+3),4 tanggungan (-5) | Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00031,L1NSB00031,PLT003,Multifinance,2024-09-26,Multifinance,Motor baru,20000000,36,34,0.91,0,0,0,0.0,100.0,11,76,0,1,2030000,1,0.09,1,1,0,0,91,Rendah,Setujui,0.052,0,Aktif di platform 34 bulan (+7) | On-time rate 91% (+10) | Listrik 100.0% tepat waktu (+7) | Transaksi e-wallet 76/bln (+3),5 tanggungan (-5)
L1AJN00032,L1NSB00032,PLT001,P2P Lending,2024-05-29,P2P Lending,Konsumsi,5000000,3,20,0.75,2,2,0,2.0,75.0,9,19,0,0,0,0,0.0,1,0,0,0,90,Rendah,Setujui,0.058,0,Aktif di platform 20 bulan (+7) | On-time rate 75% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),
L1AJN00033,L1NSB00033,PLT002,P2P Lending,2024-02-07,P2P Lending,Renovasi,1000000,9,36,0.91,1,0,1,281.0,100.0,18,28,0,1,4477000,1,0.04,0,1,0,0,69,Menengah,Setujui,0.18,0,Aktif di platform 36 bulan (+7) | On-time rate 91% (+10) | Listrik 100.0% tepat waktu (+7) | E-wallet aktif 18 bulan (+5),1 pinjaman macet (-12) | Rata-rata telat 281 hari (-10)
L1AJN00034,L1NSB00034,PLT002,P2P Lending,2024-06-24,P2P Lending,Modal usaha,5000000,3,22,0.97,3,1,1,93.3,75.0,8,79,1,1,0,0,0.0,0,0,0,0,52,Menengah,Setujui,0.278,0,Aktif di platform 22 bulan (+7) | On-time rate 97% (+10) | 1 pinjaman lancar (+5) | Listrik 75.0% tepat waktu (+3),1 pinjaman macet (-12) | Rata-rata telat 93 hari (-10) | Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00035,L1NSB00035,PLT005,P2P Lending,2024-11-14,P2P Lending,Pendidikan,500000,9,27,0.85,1,1,0,0.0,87.5,19,22,0,0,0,0,0.0,1,1,0,0,91,Rendah,Setujui,0.052,1,Aktif di platform 27 bulan (+7) | On-time rate 85% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00036,L1NSB00036,PLT001,P2P Lending,2024-07-26,P2P Lending,Modal usaha,3000000,3,34,0.67,3,2,0,6.7,66.7,21,52,0,0,0,0,0.0,1,0,0,0,86,Rendah,Setujui,0.081,0,Aktif di platform 34 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | E-wallet aktif 21 bulan (+5),
L1AJN00037,L1NSB00037,PLT005,P2P Lending,2024-02-06,P2P Lending,Konsumsi,5000000,1,33,0.75,0,0,0,0.0,95.8,9,70,0,1,6590000,1,0.04,1,1,0,0,88,Rendah,Setujui,0.07,0,Aktif di platform 33 bulan (+7) | On-time rate 75% (+5) | Listrik 95.8% tepat waktu (+7) | Transaksi e-wallet 70/bln (+3),
L1AJN00038,L1NSB00038,PLT005,P2P Lending,2024-07-31,P2P Lending,Konsumsi,1000000,12,29,0.85,1,1,0,0.0,95.8,21,12,0,1,0,0,0.0,0,1,0,0,90,Rendah,Setujui,0.058,1,Aktif di platform 29 bulan (+7) | On-time rate 85% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00039,L1NSB00039,PLT002,P2P Lending,2024-05-10,P2P Lending,Konsumsi,5000000,12,27,0.84,1,0,0,25.0,91.7,9,27,0,0,0,0,0.0,0,1,0,0,75,Rendah,Setujui,0.145,1,Aktif di platform 27 bulan (+7) | On-time rate 84% (+5) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7),4 tanggungan (-5)
L1AJN00040,L1NSB00040,PLT005,P2P Lending,2024-08-04,P2P Lending,Renovasi,2000000,6,20,0.66,2,2,0,0.5,79.2,7,23,0,0,0,0,0.0,1,1,0,0,91,Rendah,Setujui,0.052,0,Aktif di platform 20 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3),
L1AJN00041,L1NSB00041,PLT002,P2P Lending,2024-09-06,P2P Lending,Pendidikan,1000000,1,32,0.83,3,2,0,6.7,95.8,21,51,0,1,6494000,0,0.06,1,0,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 32 bulan (+7) | On-time rate 83% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),
L1AJN00042,L1NSB00042,PLT005,P2P Lending,2024-08-02,P2P Lending,Modal usaha,500000,6,28,0.86,0,0,0,0.0,62.5,12,15,0,1,3537000,1,0.06,0,0,0,0,77,Rendah,Setujui,0.133,0,Aktif di platform 28 bulan (+7) | On-time rate 86% (+5) | E-wallet aktif 12 bulan (+5) | Income gig konsisten 6 bulan (+8),
L1AJN00043,L1NSB00043,PLT003,Multifinance,2024-03-10,Multifinance,Elektronik,20000000,36,35,0.65,2,1,1,73.0,100.0,9,46,0,0,0,0,0.0,0,1,0,0,54,Menengah,Setujui,0.267,1,Aktif di platform 35 bulan (+7) | 1 pinjaman lancar (+5) | Listrik 100.0% tepat waktu (+7) | Transaksi e-wallet 46/bln (+3),1 pinjaman macet (-12) | Rata-rata telat 73 hari (-10)
L1AJN00044,L1NSB00044,PLT002,P2P Lending,2024-05-27,P2P Lending,Modal usaha,500000,12,10,0.8,4,4,0,1.5,62.5,11,70,0,0,0,0,0.0,0,1,0,0,80,Rendah,Setujui,0.116,0,On-time rate 80% (+5) | 4 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Transaksi e-wallet 70/bln (+3),
L1AJN00045,L1NSB00045,PLT002,P2P Lending,2024-10-02,P2P Lending,Modal usaha,3000000,6,11,0.8,3,2,0,2.0,87.5,0,0,0,1,4752000,1,0.12,0,0,0,0,82,Rendah,Setujui,0.104,0,On-time rate 80% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 87.5% tepat waktu (+3),Cancel rate gig 12% (-4)
L1AJN00046,L1NSB00046,PLT002,P2P Lending,2024-08-25,P2P Lending,Modal usaha,5000000,12,8,0.57,1,0,1,303.0,95.8,20,67,0,1,0,0,0.0,0,0,0,0,46,Tinggi,Tolak,0.313,1,Listrik 95.8% tepat waktu (+7) | E-wallet aktif 20 bulan (+5) | Transaksi e-wallet 67/bln (+3),1 pinjaman macet (-12) | Rata-rata telat 303 hari (-10)
L1AJN00047,L1NSB00047,PLT004,Multifinance,2024-11-12,Multifinance,Motor baru,10000000,18,24,0.95,0,0,0,0.0,91.7,11,5,0,0,0,0,0.0,1,1,0,0,80,Rendah,Setujui,0.116,0,Aktif di platform 24 bulan (+7) | On-time rate 95% (+10) | Listrik 91.7% tepat waktu (+7) | Punya rekening bank (+4),5 tanggungan (-5)
L1AJN00048,L1NSB00048,PLT005,P2P Lending,2024-11-21,P2P Lending,Konsumsi,1000000,3,28,0.86,4,4,0,1.5,70.8,11,45,0,0,0,0,0.0,0,1,0,0,94,Rendah,Setujui,0.035,0,Aktif di platform 28 bulan (+7) | On-time rate 86% (+5) | 4 pinjaman lancar (+15) | Tidak ada riwayat macet (+7),
L1AJN00049,L1NSB00049,PLT002,P2P Lending,2024-04-10,P2P Lending,Modal usaha,500000,3,2,0.66,1,0,0,4.0,66.7,20,49,0,0,0,0,0.0,1,0,0,0,70,Rendah,Setujui,0.174,0,Tidak ada riwayat macet (+7) | E-wallet aktif 20 bulan (+5) | Transaksi e-wallet 49/bln (+3) | Punya rekening bank (+4),
L1AJN00050,L1NSB00050,PLT005,P2P Lending,2024-12-26,P2P Lending,Pendidikan,2000000,12,16,0.66,2,1,1,152.0,58.3,23,21,1,1,4068000,1,0.05,1,0,0,0,54,Menengah,Setujui,0.267,0,Aktif di platform 16 bulan (+7) | 1 pinjaman lancar (+5) | E-wallet aktif 23 bulan (+5) | Transaksi e-wallet 21/bln (+3),1 pinjaman macet (-12) | Rata-rata telat 152 hari (-10) | Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00051,L1NSB00051,PLT002,P2P Lending,2024-03-24,P2P Lending,Konsumsi,500000,12,36,0.66,2,2,0,2.5,100.0,7,75,0,0,0,0,0.0,1,1,0,0,89,Rendah,Setujui,0.064,0,Aktif di platform 36 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 100.0% tepat waktu (+7),
L1AJN00052,L1NSB00052,PLT002,P2P Lending,2024-02-17,P2P Lending,Modal usaha,2000000,9,8,0.71,4,2,0,25.0,91.7,24,16,0,1,7547000,1,0.08,1,1,0,0,95,Rendah,Setujui,0.029,0,2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7) | E-wallet aktif 24 bulan (+5),
L1AJN00053,L1NSB00053,PLT002,P2P Lending,2024-10-31,P2P Lending,Modal usaha,5000000,6,20,0.8,1,1,0,1.0,58.3,8,37,0,0,0,0,0.0,0,1,0,0,82,Rendah,Setujui,0.104,0,Aktif di platform 20 bulan (+7) | On-time rate 80% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00054,L1NSB00054,PLT004,Multifinance,2024-07-21,Multifinance,Motor bekas,10000000,36,19,0.76,0,0,0,0.0,95.8,6,73,0,1,1552000,1,0.12,0,1,0,0,82,Rendah,Setujui,0.104,1,Aktif di platform 19 bulan (+7) | On-time rate 76% (+5) | Listrik 95.8% tepat waktu (+7) | Transaksi e-wallet 73/bln (+3),Cancel rate gig 12% (-4)
L1AJN00055,L1NSB00055,PLT002,P2P Lending,2024-09-24,P2P Lending,Modal usaha,500000,9,16,0.93,2,2,0,2.5,87.5,18,49,0,1,5215000,1,0.04,1,0,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 16 bulan (+7) | On-time rate 93% (+10) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),
L1AJN00056,L1NSB00056,PLT004,Multifinance,2024-09-28,Multifinance,Motor bekas,10000000,12,7,0.72,1,1,0,0.0,70.8,0,0,0,0,0,0,0.0,0,0,0,0,65,Menengah,Setujui,0.203,0,1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00057,L1NSB00057,PLT002,P2P Lending,2024-07-27,P2P Lending,Pendidikan,2000000,6,31,0.92,1,0,0,90.0,79.2,0,0,0,1,7859000,1,0.14,1,1,0,0,86,Rendah,Setujui,0.081,0,Aktif di platform 31 bulan (+7) | On-time rate 92% (+10) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3),Rata-rata telat 90 hari (-10) | Cancel rate gig 14% (-4)
L1AJN00058,L1NSB00058,PLT004,Multifinance,2024-05-24,Multifinance,Mesin usaha,20000000,36,10,0.88,0,0,0,0.0,75.0,7,26,0,1,7376000,1,0.14,0,0,0,0,64,Menengah,Setujui,0.209,1,On-time rate 88% (+5) | Listrik 75.0% tepat waktu (+3) | Transaksi e-wallet 26/bln (+3) | Income gig konsisten 6 bulan (+8),Cancel rate gig 14% (-4)
L1AJN00059,L1NSB00059,PLT003,Multifinance,2024-04-17,Multifinance,Motor baru,3000000,18,35,0.86,0,0,0,0.0,58.3,0,0,0,0,0,0,0.0,0,0,0,0,60,Menengah,Setujui,0.232,0,Aktif di platform 35 bulan (+7) | On-time rate 86% (+5),
L1AJN00060,L1NSB00060,PLT002,P2P Lending,2024-12-06,P2P Lending,Konsumsi,1000000,3,18,0.93,0,0,0,0.0,95.8,11,18,0,0,0,0,0.0,0,1,0,0,77,Rendah,Setujui,0.133,0,Aktif di platform 18 bulan (+7) | On-time rate 93% (+10) | Listrik 95.8% tepat waktu (+7) | BPJS dibayar rutin (+3),
L1AJN00061,L1NSB00061,PLT004,Multifinance,2024-08-07,Multifinance,Motor baru,15000000,12,27,0.68,1,1,0,3.0,91.7,18,45,0,0,0,0,0.0,1,1,0,0,87,Rendah,Setujui,0.075,0,Aktif di platform 27 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7),
L1AJN00062,L1NSB00062,PLT005,P2P Lending,2024-04-17,P2P Lending,Pendidikan,3000000,1,17,0.63,0,0,0,0.0,79.2,13,67,0,1,7471000,1,0.02,1,1,0,0,85,Rendah,Setujui,0.087,0,Aktif di platform 17 bulan (+7) | Listrik 79.2% tepat waktu (+3) | E-wallet aktif 13 bulan (+5) | Transaksi e-wallet 67/bln (+3),
L1AJN00063,L1NSB00063,PLT003,Multifinance,2024-02-01,Multifinance,Mesin usaha,10000000,24,29,0.75,1,1,0,1.0,62.5,0,0,0,1,1972000,1,0.04,1,1,0,0,93,Rendah,Setujui,0.041,0,Aktif di platform 29 bulan (+7) | On-time rate 75% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00064,L1NSB00064,PLT002,P2P Lending,2024-12-11,P2P Lending,Renovasi,500000,1,27,0.93,2,2,0,1.0,58.3,10,70,0,0,0,0,0.0,1,0,0,0,85,Rendah,Setujui,0.087,0,Aktif di platform 27 bulan (+7) | On-time rate 93% (+10) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7),4 tanggungan (-5)
L1AJN00065,L1NSB00065,PLT003,Multifinance,2024-07-03,Multifinance,Elektronik,5000000,12,31,0.58,1,1,0,2.0,91.7,0,0,0,1,5435000,1,0.08,1,1,0,0,95,Rendah,Setujui,0.029,1,Aktif di platform 31 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 91.7% tepat waktu (+7),
L1AJN00066,L1NSB00066,PLT003,Multifinance,2024-04-11,Multifinance,Motor bekas,10000000,18,1,0.95,2,1,1,77.0,83.3,11,22,0,0,0,0,0.0,1,1,1,18000000,63,Menengah,Setujui,0.215,0,On-time rate 95% (+10) | 1 pinjaman lancar (+5) | Listrik 83.3% tepat waktu (+3) | Transaksi e-wallet 22/bln (+3),1 pinjaman macet (-12) | Rata-rata telat 77 hari (-10)
L1AJN00067,L1NSB00067,PLT003,Multifinance,2024-10-30,Multifinance,Mesin usaha,3000000,24,21,0.76,2,1,1,161.5,79.2,6,60,0,0,0,0,0.0,0,0,0,0,49,Tinggi,Tolak,0.296,0,Aktif di platform 21 bulan (+7) | On-time rate 76% (+5) | 1 pinjaman lancar (+5) | Listrik 79.2% tepat waktu (+3),1 pinjaman macet (-12) | Rata-rata telat 162 hari (-10)
L1AJN00068,L1NSB00068,PLT004,Multifinance,2024-10-24,Multifinance,Motor bekas,10000000,18,10,0.69,3,3,0,2.3,79.2,0,0,0,0,0,0,0.0,1,1,0,0,76,Rendah,Setujui,0.139,0,3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3) | Punya rekening bank (+4),4 tanggungan (-5)
L1AJN00069,L1NSB00069,PLT001,P2P Lending,2024-10-01,P2P Lending,Pendidikan,500000,6,10,0.6,4,4,0,2.0,95.8,19,32,0,1,6201000,1,0.11,0,1,0,0,95,Rendah,Setujui,0.029,0,4 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Listrik 95.8% tepat waktu (+7) | E-wallet aktif 19 bulan (+5),Cancel rate gig 11% (-4)
