pinjaman_id,nasabah_id,platform_id,tgl_cair,tipe_produk,nama_produk,pokok,tenor_bulan,bunga_per_bulan,total_kewajiban,status_kolektibilitas,hari_keterlambatan,sudah_lunas
L1KRD000017,L1NSB00008,PLT005,2023-07-05,P2P Lending,Renovasi,500000,6,3.0,590000,Lancar,2,1
L1KRD000018,L1NSB00010,PLT001,2022-12-20,P2P Lending,Pendidikan,3000000,1,3.13,3093900,Kurang Lancar,63,0
L1KRD000019,L1NSB00010,PLT001,2023-05-02,P2P Lending,Kesehatan,1000000,6,2.11,1126600,DPK,9,1
L1KRD000020,L1NSB00010,PLT001,2022-08-21,P2P Lending,Modal usaha,10000000,12,3.28,13936000,Lancar,3,1
L1KRD000021,L1NSB00010,PLT001,2023-07-25,P2P Lending,Kesehatan,1000000,3,2.19,1065700,Lancar,2,1
L1KRD000022,L1NSB00011,PLT005,2023-12-24,P2P Lending,Pendidikan,10000000,6,2.89,11734000,Lancar,3,1
L1KRD000023,L1NSB00013,PLT002,2023-09-17,P2P Lending,Pendidikan,3000000,3,2.65,3238500,Lancar,3,1
L1KRD000024,L1NSB00014,PLT003,2023-08-27,Multifinance,Refinancing,15000000,12,1.38,17484000,Kurang Lancar,40,0
L1KRD000025,L1NSB00016,PLT001,2023-09-04,P2P Lending,Modal usaha,2000000,6,2.17,2260400,Lancar,1,1
L1KRD000026,L1NSB00016,PLT001,2022-05-13,P2P Lending,Kesehatan,5000000,9,1.97,5886500,Lancar,0,1
L1KRD000027,L1NSB00017,PLT005,2022-02-19,P2P Lending,Modal usaha,10000000,9,2.0,11800000,Lancar,2,1
L1KRD000028,L1NSB00017,PLT005,2023-12-07,P2P Lending,Konsumsi,2000000,3,1.54,2092400,Lancar,0,1
L1KRD000029,L1NSB00018,PLT003,2022-11-02,Multifinance,Motor bekas,3000000,24,1.88,4353600,Lancar,3,1
L1KRD000030,L1NSB00019,PLT004,2022-04-01,Multifinance,Mesin usaha,5000000,24,1.07,6284000,Lancar,0,1
L1KRD000031,L1NSB00019,PLT004,2022-04-24,Multifinance,Motor baru,15000000,24,1.48,20328000,Lancar,2,1
L1KRD000032,L1NSB00020,PLT001,2022-04-12,P2P Lending,Konsumsi,2000000,12,3.21,2770400,Lancar,1,1
L1KRD000033,L1NSB00020,PLT001,2023-01-28,P2P Lending,Pendidikan,5000000,1,3.41,5170500,Lancar,3,1
L1KRD000034,L1NSB00021,PLT003,2023-06-14,Multifinance,Refinancing,3000000,48,1.26,4814400,Lancar,0,0
L1KRD000035,L1NSB00021,PLT003,2023-06-27,Multifinance,Motor bekas,5000000,36,1.71,8078000,Lancar,0,0
L1KRD000036,L1NSB00021,PLT003,2023-04-12,Multifinance,Mesin usaha,3000000,24,1.72,4238400,Lancar,2,0
L1KRD000037,L1NSB00022,PLT001,2023-01-22,P2P Lending,Modal usaha,7000000,1,2.02,7141400,Lancar,0,1
L1KRD000038,L1NSB00022,PLT001,2023-05-06,P2P Lending,Renovasi,1000000,3,1.61,1048300,Lancar,3,1
L1KRD000039,L1NSB00023,PLT005,2023-04-13,P2P Lending,Pendidikan,1000000,3,1.91,1057300,Lancar,3,1
L1KRD000040,L1NSB00023,PLT005,2022-03-02,P2P Lending,Pendidikan,2000000,3,1.79,2107400,Kurang Lancar,34,0
L1KRD000041,L1NSB00023,PLT005,2023-04-21,P2P Lending,Renovasi,1000000,6,1.92,1115200,Lancar,2,1
L1KRD000042,L1NSB00025,PLT002,2024-02-19,P2P Lending,Kesehatan,2000000,3,3.42,2205200,Lancar,1,1
L1KRD000043,L1NSB00025,PLT002,2022-04-09,P2P Lending,Kesehatan,1000000,6,3.12,1187200,Lancar,1,1
L1KRD000044,L1NSB00025,PLT002,2024-04-23,P2P Lending,Kesehatan,500000,1,2.72,513600,Lancar,1,1
L1KRD000045,L1NSB00026,PLT004,2022-04-02,Multifinance,Mesin usaha,7000000,18,1.11,8398600,Lancar,0,1
L1KRD000046,L1NSB00026,PLT004,2023-12-20,Multifinance,Elektronik,5000000,36,1.37,7466000,Lancar,1,0
L1KRD000047,L1NSB00027,PLT002,2022-06-27,P2P Lending,Renovasi,3000000,1,1.58,3047400,Lancar,1,1
L1KRD000048,L1NSB00027,PLT002,2022-09-23,P2P Lending,Kesehatan,1000000,6,3.2,1192000,Kurang Lancar,72,0
L1KRD000049,L1NSB00027,PLT002,2023-08-10,P2P Lending,Kesehatan,2000000,6,3.25,2390000,Lancar,1,1
L1KRD000050,L1NSB00028,PLT003,2023-05-13,Multifinance,Refinancing,7000000,18,1.6,9016000,Lancar,2,1
L1KRD000051,L1NSB00030,PLT002,2024-03-06,P2P Lending,Kesehatan,10000000,12,2.85,13420000,DPK,10,0
L1KRD000052,L1NSB00030,PLT002,2023-03-15,P2P Lending,Pendidikan,3000000,9,2.35,3634500,Lancar,0,1
L1KRD000053,L1NSB00032,PLT001,2022-09-09,P2P Lending,Renovasi,1000000,12,2.49,1298800,Lancar,2,1
L1KRD000054,L1NSB00032,PLT001,2022-10-22,P2P Lending,Konsumsi,7000000,12,1.93,8621200,Lancar,2,1
L1KRD000055,L1NSB00033,PLT002,2023-06-03,P2P Lending,Kesehatan,5000000,3,2.74,5411000,Macet,281,0
L1KRD000056,L1NSB00034,PLT002,2022-08-09,P2P Lending,Konsumsi,500000,12,3.21,692600,Lancar,2,1
L1KRD000057,L1NSB00034,PLT002,2022-03-06,P2P Lending,Konsumsi,3000000,3,2.86,3257400,DPK,4,1
L1KRD000058,L1NSB00034,PLT002,2023-06-30,P2P Lending,Renovasi,7000000,12,2.78,9335200,Macet,274,0
L1KRD000059,L1NSB00035,PLT005,2022-11-25,P2P Lending,Modal usaha,3000000,1,1.53,3045900,Lancar,0,1
L1KRD000060,L1NSB00036,PLT001,2022-06-16,P2P Lending,Renovasi,1000000,1,2.93,1029300,Lancar,2,1
L1KRD000061,L1NSB00036,PLT001,2024-05-30,P2P Lending,Renovasi,10000000,9,2.69,12421000,Lancar,1,0
L1KRD000062,L1NSB00036,PLT001,2022-04-12,P2P Lending,Pendidikan,2000000,3,3.37,2202200,DPK,17,1
L1KRD000063,L1NSB00038,PLT005,2022-07-27,P2P Lending,Modal usaha,3000000,1,2.17,3065100,Lancar,0,1
L1KRD000064,L1NSB00039,PLT002,2024-06-01,P2P Lending,Modal usaha,3000000,9,2.6,3702000,DPK,25,0
L1KRD000065,L1NSB00040,PLT005,2022-04-13,P2P Lending,Konsumsi,1000000,3,2.35,1070500,Lancar,1,1
L1KRD000066,L1NSB00040,PLT005,2022-07-14,P2P Lending,Pendidikan,2000000,6,3.09,2370800,Lancar,0,1
L1KRD000067,L1NSB00041,PLT002,2023-07-31,P2P Lending,Konsumsi,7000000,3,1.67,7350700,Lancar,3,1
L1KRD000068,L1NSB00041,PLT002,2023-12-22,P2P Lending,Konsumsi,5000000,1,2.21,5110500,Lancar,3,1
L1KRD000069,L1NSB00041,PLT002,2023-03-24,P2P Lending,Modal usaha,7000000,3,2.76,7579600,DPK,14,1
L1KRD000070,L1NSB00043,PLT003,2022-08-27,Multifinance,Refinancing,3000000,48,1.61,5318400,Lancar,0,0
L1KRD000071,L1NSB00043,PLT003,2022-01-13,Multifinance,Refinancing,10000000,48,1.44,16912000,Macet,146,0
L1KRD000072,L1NSB00044,PLT002,2023-10-24,P2P Lending,Pendidikan,500000,12,2.08,624800,Lancar,0,1
L1KRD000073,L1NSB00044,PLT002,2023-09-05,P2P Lending,Konsumsi,7000000,1,1.57,7109900,Lancar,2,1
L1KRD000074,L1NSB00044,PLT002,2023-06-17,P2P Lending,Pendidikan,10000000,9,3.31,12979000,Lancar,1,1
L1KRD000075,L1NSB00044,PLT002,2022-02-05,P2P Lending,Kesehatan,1000000,12,3.05,1366000,Lancar,3,1
L1KRD000076,L1NSB00045,PLT002,2023-06-30,P2P Lending,Konsumsi,2000000,12,3.17,2760800,Lancar,0,1
L1KRD000077,L1NSB00045,PLT002,2022-03-02,P2P Lending,Modal usaha,7000000,9,2.21,8392300,Lancar,2,1
L1KRD000078,L1NSB00045,PLT002,2024-03-16,P2P Lending,Konsumsi,5000000,9,2.97,6336500,DPK,4,0
L1KRD000079,L1NSB00046,PLT002,2022-03-09,P2P Lending,Modal usaha,7000000,1,3.36,7235200,Macet,303,0
L1KRD000080,L1NSB00048,PLT005,2023-07-13,P2P Lending,Kesehatan,5000000,6,2.6,5780000,Lancar,1,1
L1KRD000081,L1NSB00048,PLT005,2022-11-03,P2P Lending,Renovasi,1000000,6,3.3,1198000,Lancar,2,1
L1KRD000082,L1NSB00048,PLT005,2024-01-30,P2P Lending,Kesehatan,500000,3,2.19,532850,Lancar,3,1
L1KRD000083,L1NSB00048,PLT005,2024-02-14,P2P Lending,Modal usaha,5000000,12,1.71,6026000,Lancar,0,0
L1KRD000084,L1NSB00049,PLT002,2024-03-28,P2P Lending,Konsumsi,2000000,1,2.08,2041600,DPK,4,1
L1KRD000085,L1NSB00050,PLT005,2023-11-22,P2P Lending,Renovasi,2000000,9,2.76,2496800,Macet,303,0
L1KRD000086,L1NSB00050,PLT005,2022-09-18,P2P Lending,Pendidikan,500000,3,1.84,527600,Lancar,1,1
L1KRD000087,L1NSB00051,PLT002,2023-12-18,P2P Lending,Renovasi,5000000,3,2.07,5310500,Lancar,3,1
L1KRD000088,L1NSB00051,PLT002,2022-05-10,P2P Lending,Modal usaha,2000000,1,2.57,2051400,Lancar,2,1
L1KRD000089,L1NSB00052,PLT002,2023-12-18,P2P Lending,Konsumsi,7000000,9,2.56,8612800,DPK,18,1
L1KRD000090,L1NSB00052,PLT002,2023-05-31,P2P Lending,Modal usaha,10000000,3,1.54,10462000,Lancar,0,1
L1KRD000091,L1NSB00052,PLT002,2024-03-13,P2P Lending,Konsumsi,10000000,9,2.28,12052000,Kurang Lancar,82,0
L1KRD000092,L1NSB00052,PLT002,2022-01-02,P2P Lending,Pendidikan,1000000,1,2.72,1027200,Lancar,0,1
L1KRD000093,L1NSB00053,PLT002,2022-04-14,P2P Lending,Modal usaha,10000000,6,2.75,11650000,Lancar,1,1
L1KRD000094,L1NSB00055,PLT002,2022-12-25,P2P Lending,Pendidikan,1000000,3,2.5,1075000,Lancar,3,1
L1KRD000095,L1NSB00055,PLT002,2023-04-24,P2P Lending,Kesehatan,10000000,9,3.34,13006000,Lancar,2,1
L1KRD000096,L1NSB00056,PLT004,2022-02-06,Multifinance,Motor bekas,20000000,12,1.32,23168000,Lancar,0,1
L1KRD000097,L1NSB00057,PLT002,2023-01-27,P2P Lending,Konsumsi,5000000,9,2.04,5918000,Kurang Lancar,90,0
L1KRD000098,L1NSB00061,PLT004,2022-08-21,Multifinance,Elektronik,15000000,24,1.99,22164000,Lancar,3,1
L1KRD000099,L1NSB00063,PLT003,2022-08-06,Multifinance,Refinancing,3000000,48,1.88,5707200,Lancar,1,0
L1KRD000100,L1NSB00064,PLT002,2022-05-01,P2P Lending,Pendidikan,1000000,1,2.21,1022100,Lancar,1,1
L1KRD000101,L1NSB00064,PLT002,2023-03-19,P2P Lending,Konsumsi,3000000,1,1.91,3057300,Lancar,1,1
L1KRD000102,L1NSB00065,PLT003,2022-07-08,Multifinance,Elektronik,15000000,18,1.21,18267000,Lancar,2,1
L1KRD000103,L1NSB00066,PLT003,2024-04-23,Multifinance,Refinancing,20000000,48,1.45,33920000,Lancar,2,0
L1KRD000104,L1NSB00066,PLT003,2022-12-30,Multifinance,Motor bekas,10000000,36,1.32,14752000,Macet,152,0
L1KRD000105,L1NSB00067,PLT003,2023-05-24,Multifinance,Mesin usaha,3000000,36,1.29,4393200,Lancar,1,0
L1KRD000106,L1NSB00067,PLT003,2022-11-28,Multifinance,Elektronik,7000000,12,1.16,7974400,Macet,322,0
L1KRD000107,L1NSB00068,PLT004,2022-01-15,Multifinance,Mesin usaha,3000000,36,1.2,4296000,Lancar,1,0
L1KRD000108,L1NSB00068,PLT004,2022-09-16,Multifinance,Motor bekas,3000000,12,1.68,3604800,Lancar,3,1
L1KRD000109,L1NSB00068,PLT004,2022-11-01,Multifinance,Motor baru,5000000,36,1.93,8474000,Lancar,3,0
L1KRD000110,L1NSB00069,PLT001,2022-07-27,P2P Lending,Pendidikan,3000000,9,2.34,3631800,Lancar,3,1
L1KRD000111,L1NSB00069,PLT001,2023-02-04,P2P Lending,Kesehatan,3000000,3,2.27,3204300,Lancar,1,1
L1KRD000112,L1NSB00069,PLT001,2023-12-09,P2P Lending,Pendidikan,1000000,3,1.94,1058200,Lancar,1,1
L1KRD000113,L1NSB00069,PLT001,2022-01-02,P2P Lending,Pendidikan,1000000,9,2.83,1254700,Lancar,3,1
L1KRD000114,L1NSB00070,PLT005,2024-05-27,P2P Lending,Pendidikan,5000000,6,1.74,5522000,Lancar,0,1
L1KRD000115,L1NSB00070,PLT005,2024-03-26,P2P Lending,Konsumsi,1000000,12,2.07,1248400,Macet,305,0
L1KRD000116,L1NSB00071,PLT004,2022-07-08,Multifinance,Mesin usaha,25000000,18,1.97,33865000,Lancar,3,1
L1KRD000117,L1NSB00071,PLT004,2024-02-11,Multifinance,Mesin usaha,3000000,48,1.91,5750400,Lancar,2,0
L1KRD000118,L1NSB00073,PLT004,2023-04-08,Multifinance,Refinancing,15000000,48,1.05,22560000,Lancar,0,0
L1KRD000119,L1NSB00075,PLT003,2024-02-28,Multifinance,Mesin usaha,5000000,24,1.74,7088000,DPK,6,0
L1KRD000120,L1NSB00075,PLT003,2022-05-21,Multifinance,Motor bekas,10000000,18,1.02,11836000,Kurang Lancar,67,0
L1KRD000121,L1NSB00075,PLT003,2023-12-21,Multifinance,Motor bekas,25000000,12,1.69,30070000,Lancar,1,0
L1KRD000122,L1NSB00078,PLT003,2023-01-16,Multifinance,Motor bekas,20000000,48,1.15,31040000,Lancar,2,0
L1KRD000123,L1NSB00079,PLT004,2023-10-04,Multifinance,Mesin usaha,25000000,48,1.58,43960000,Kurang Lancar,83,0
L1KRD000124,L1NSB00079,PLT004,2023-09-09,Multifinance,Mesin usaha,5000000,36,1.55,7790000,Lancar,3,0
L1KRD000125,L1NSB00079,PLT004,2022-09-09,Multifinance,Elektronik,10000000,12,1.63,11956000,Lancar,3,1
L1KRD000126,L1NSB00079,PLT004,2022-12-03,Multifinance,Elektronik,3000000,24,1.26,3907200,DPK,14,1
L1KRD000127,L1NSB00081,PLT001,2022-06-08,P2P Lending,Modal usaha,10000000,1,2.26,10226000,Lancar,2,1
L1KRD000128,L1NSB00081,PLT001,2023-08-25,P2P Lending,Renovasi,5000000,9,1.78,5801000,DPK,6,1
L1KRD000129,L1NSB00081,PLT001,2024-02-17,P2P Lending,Renovasi,500000,12,2.04,622400,Lancar,2,0
L1KRD000130,L1NSB00082,PLT004,2022-03-19,Multifinance,Motor bekas,20000000,36,1.59,31448000,Kurang Lancar,52,0
L1KRD000131,L1NSB00082,PLT004,2023-04-11,Multifinance,Elektronik,25000000,24,1.57,34420000,Lancar,2,0
L1KRD000132,L1NSB00083,PLT001,2024-04-25,P2P Lending,Kesehatan,10000000,12,1.83,12196000,Kurang Lancar,76,0
L1KRD000133,L1NSB00084,PLT005,2023-10-28,P2P Lending,Pendidikan,2000000,1,3.09,2061800,Lancar,3,1
L1KRD000134,L1NSB00085,PLT002,2022-10-07,P2P Lending,Kesehatan,10000000,1,2.54,10254000,DPK,24,1
L1KRD000135,L1NSB00085,PLT002,2022-08-27,P2P Lending,Renovasi,1000000,3,2.51,1075300,Lancar,2,1
L1KRD000136,L1NSB00085,PLT002,2022-03-20,P2P Lending,Renovasi,500000,3,2.45,536750,Lancar,2,1
L1KRD000137,L1NSB00086,PLT004,2022-05-12,Multifinance,Elektronik,7000000,48,1.21,11065600,Lancar,3,0
L1KRD000138,L1NSB00086,PLT004,2023-06-14,Multifinance,Elektronik,3000000,12,1.41,3507600,Lancar,3,1
L1KRD000139,L1NSB00087,PLT004,2022-04-19,Multifinance,Refinancing,25000000,18,1.17,30265000,Lancar,0,1
L1KRD000140,L1NSB00087,PLT004,2024-05-02,Multifinance,Refinancing,15000000,12,1.94,18492000,DPK,25,0
L1KRD000141,L1NSB00087,PLT004,2023-07-19,Multifinance,Motor baru,7000000,48,1.08,10628800,DPK,7,0
L1KRD000142,L1NSB00090,PLT004,2022-09-13,Multifinance,Refinancing,7000000,48,1.97,13619200,Lancar,0,0
L1KRD000143,L1NSB00090,PLT004,2022-02-19,Multifinance,Motor bekas,15000000,12,1.85,18330000,Lancar,1,1
L1KRD000144,L1NSB00091,PLT001,2023-01-27,P2P Lending,Modal usaha,3000000,1,1.79,3053700,Lancar,1,1
L1KRD000145,L1NSB00092,PLT001,2023-06-09,P2P Lending,Kesehatan,10000000,9,3.42,13078000,Lancar,1,1
L1KRD000146,L1NSB00092,PLT001,2023-05-26,P2P Lending,Konsumsi,7000000,9,2.99,8883700,Macet,221,0
L1KRD000147,L1NSB00092,PLT001,2023-05-01,P2P Lending,Kesehatan,1000000,1,3.48,1034800,Lancar,1,1
L1KRD000148,L1NSB00093,PLT001,2023-12-15,P2P Lending,Modal usaha,2000000,12,1.85,2444000,DPK,27,0
L1KRD000149,L1NSB00093,PLT001,2022-10-08,P2P Lending,Kesehatan,10000000,6,2.12,11272000,Lancar,2,1
L1KRD000150,L1NSB00094,PLT001,2022-08-15,P2P Lending,Modal usaha,2000000,12,3.36,2806400,DPK,22,1
L1KRD000151,L1NSB00094,PLT001,2023-06-23,P2P Lending,Konsumsi,7000000,12,1.95,8638000,Lancar,0,1
L1KRD000152,L1NSB00097,PLT001,2022-08-08,P2P Lending,Pendidikan,500000,9,3.05,637250,Lancar,0,1
L1KRD000153,L1NSB00097,PLT001,2023-02-02,P2P Lending,Konsumsi,7000000,9,2.61,8644300,DPK,29,1
L1KRD000154,L1NSB00098,PLT004,2022-02-01,Multifinance,Refinancing,15000000,48,1.49,25728000,Lancar,0,0
L1KRD000155,L1NSB00098,PLT004,2023-02-03,Multifinance,Motor bekas,15000000,36,1.6,23640000,Lancar,2,0
L1KRD000156,L1NSB00098,PLT004,2023-01-14,Multifinance,Elektronik,10000000,18,1.85,13330000,Lancar,3,1
L1KRD000157,L1NSB00099,PLT005,2023-02-24,P2P Lending,Pendidikan,10000000,3,2.8,10840000,Lancar,0,1
L1KRD000158,L1NSB00099,PLT005,2023-08-22,P2P Lending,Pendidikan,7000000,6,3.4,8428000,Lancar,1,1
L1KRD000159,L1NSB00099,PLT005,2022-03-06,P2P Lending,Pendidikan,3000000,1,2.9,3087000,Lancar,3,1
L1KRD000160,L1NSB00101,PLT002,2024-03-23,P2P Lending,Konsumsi,2000000,12,2.65,2636000,Lancar,2,0
L1KRD000161,L1NSB00101,PLT002,2024-04-06,P2P Lending,Konsumsi,10000000,6,2.46,11476000,Lancar,0,1
L1KRD000162,L1NSB00102,PLT005,2022-11-22,P2P Lending,Konsumsi,3000000,6,2.27,3408600,Lancar,3,1
L1KRD000163,L1NSB00102,PLT005,2023-03-06,P2P Lending,Modal usaha,3000000,1,2.17,3065100,Macet,344,0
L1KRD000164,L1NSB00102,PLT005,2022-01-19,P2P Lending,Modal usaha,500000,12,2.88,672800,Lancar,1,1
L1KRD000165,L1NSB00103,PLT005,2023-08-27,P2P Lending,Pendidikan,10000000,3,3.11,10933000,Lancar,2,1
L1KRD000166,L1NSB00104,PLT005,2022-12-24,P2P Lending,Kesehatan,500000,3,1.88,528200,DPK,21,1
L1KRD000167,L1NSB00105,PLT001,2023-06-01,P2P Lending,Renovasi,3000000,12,2.98,4072800,DPK,10,1
L1KRD000168,L1NSB00107,PLT004,2023-11-13,Multifinance,Motor bekas,25000000,36,1.54,38860000,Lancar,0,0
L1KRD000169,L1NSB00107,PLT004,2022-03-08,Multifinance,Refinancing,20000000,18,1.22,24392000,Lancar,1,1
L1KRD000170,L1NSB00108,PLT005,2022-02-18,P2P Lending,Pendidikan,1000000,9,3.36,1302400,Lancar,2,1
L1KRD000171,L1NSB00110,PLT004,2022-12-14,Multifinance,Motor bekas,10000000,24,1.74,14176000,DPK,21,0
L1KRD000172,L1NSB00111,PLT003,2024-04-16,Multifinance,Elektronik,25000000,48,1.05,37600000,Lancar,1,0
L1KRD000173,L1NSB00111,PLT003,2024-01-24,Multifinance,Mesin usaha,15000000,48,1.01,22272000,Lancar,0,0
L1KRD000174,L1NSB00112,PLT001,2022-07-17,P2P Lending,Konsumsi,10000000,12,2.34,12808000,Lancar,1,1
L1KRD000175,L1NSB00112,PLT001,2023-08-24,P2P Lending,Renovasi,3000000,1,2.33,3069900,Lancar,3,1
L1KRD000176,L1NSB00113,PLT004,2023-12-28,Multifinance,Mesin usaha,10000000,24,1.19,12856000,Lancar,2,0
L1KRD000177,L1NSB00114,PLT003,2023-09-30,Multifinance,Refinancing,3000000,24,1.85,4332000,Lancar,3,0
L1KRD000178,L1NSB00114,PLT003,2023-11-19,Multifinance,Motor bekas,20000000,24,1.1,25280000,Lancar,1,0
L1KRD000179,L1NSB00117,PLT001,2023-04-29,P2P Lending,Pendidikan,2000000,6,1.58,2189600,Lancar,2,1
L1KRD000180,L1NSB00117,PLT001,2022-03-24,P2P Lending,Pendidikan,5000000,12,2.57,6542000,Lancar,2,1
L1KRD000181,L1NSB00118,PLT003,2022-04-26,Multifinance,Motor baru,15000000,18,1.53,19131000,Lancar,2,1
L1KRD000182,L1NSB00118,PLT003,2022-11-02,Multifinance,Elektronik,5000000,12,1.1,5660000,DPK,10,1
L1KRD000183,L1NSB00118,PLT003,2023-07-13,Multifinance,Elektronik,20000000,12,1.94,24656000,Lancar,3,1
L1KRD000184,L1NSB00119,PLT003,2023-12-05,Multifinance,Mesin usaha,20000000,18,1.8,26480000,Kurang Lancar,57,0
L1KRD000185,L1NSB00119,PLT003,2023-05-09,Multifinance,Refinancing,5000000,18,1.05,5945000,Lancar,2,1
L1KRD000186,L1NSB00120,PLT001,2023-11-03,P2P Lending,Renovasi,5000000,6,3.11,5933000,Macet,112,0
L1KRD000187,L1NSB00121,PLT003,2023-09-01,Multifinance,Mesin usaha,7000000,24,1.96,10292800,Lancar,0,0
L1KRD000188,L1NSB00121,PLT003,2022-02-28,Multifinance,Motor baru,25000000,36,1.57,39130000,Lancar,0,0
L1KRD000189,L1NSB00121,PLT003,2024-05-15,Multifinance,Mesin usaha,25000000,24,1.4,33400000,Lancar,0,0
L1KRD000190,L1NSB00123,PLT004,2022-08-09,Multifinance,Motor bekas,20000000,24,1.4,26720000,Lancar,3,1
L1KRD000191,L1NSB00123,PLT004,2024-01-14,Multifinance,Refinancing,20000000,48,1.03,29888000,Lancar,3,0
L1KRD000192,L1NSB00124,PLT004,2022-01-25,Multifinance,Elektronik,25000000,12,1.77,30310000,Lancar,2,1
L1KRD000193,L1NSB00125,PLT004,2022-02-12,Multifinance,Mesin usaha,7000000,36,1.9,11788000,Lancar,1,0
L1KRD000194,L1NSB00125,PLT004,2022-01-23,Multifinance,Refinancing,5000000,12,1.45,5870000,Lancar,1,1
L1KRD000195,L1NSB00126,PLT003,2023-04-16,Multifinance,Mesin usaha,3000000,12,1.74,3626400,Lancar,0,1
L1KRD000196,L1NSB00128,PLT003,2022-06-06,Multifinance,Refinancing,20000000,24,1.52,27296000,Lancar,1,1
L1KRD000197,L1NSB00128,PLT003,2023-05-09,Multifinance,Refinancing,7000000,36,1.49,10754800,Kurang Lancar,86,0
L1KRD000198,L1NSB00128,PLT003,2022-07-29,Multifinance,Elektronik,25000000,18,1.28,30760000,Lancar,1,1
L1KRD000199,L1NSB00129,PLT005,2024-01-16,P2P Lending,Pendidikan,500000,9,2.38,607100,DPK,17,1
L1KRD000200,L1NSB00129,PLT005,2023-06-27,P2P Lending,Pendidikan,2000000,9,2.6,2468000,DPK,6,1
L1KRD000201,L1NSB00129,PLT005,2022-10-11,P2P Lending,Konsumsi,1000000,9,2.64,1237600,Lancar,1,1
L1KRD000202,L1NSB00129,PLT005,2022-04-04,P2P Lending,Kesehatan,3000000,6,1.79,3322200,Lancar,1,1
L1KRD000203,L1NSB00130,PLT001,2023-05-08,P2P Lending,Modal usaha,5000000,9,1.98,5891000,Lancar,3,1
L1KRD000204,L1NSB00130,PLT001,2022-11-04,P2P Lending,Kesehatan,3000000,9,3.06,3826200,Lancar,0,1
L1KRD000205,L1NSB00131,PLT001,2023-03-26,P2P Lending,Kesehatan,10000000,3,2.49,10747000,Macet,349,0
L1KRD000206,L1NSB00131,PLT001,2024-03-24,P2P Lending,Konsumsi,5000000,9,2.38,6071000,DPK,4,0
L1KRD000207,L1NSB00132,PLT001,2024-05-11,P2P Lending,Konsumsi,2000000,9,2.57,2462600,Lancar,1,0
L1KRD000208,L1NSB00132,PLT001,2022-08-03,P2P Lending,Kesehatan,2000000,9,2.16,2388800,Lancar,2,1
L1KRD000209,L1NSB00133,PLT005,2022-05-16,P2P Lending,Renovasi,500000,6,3.28,598400,Lancar,1,1
L1KRD000210,L1NSB00134,PLT004,2023-05-11,Multifinance,Mesin usaha,15000000,12,1.53,17754000,Lancar,3,1
L1KRD000211,L1NSB00134,PLT004,2023-10-17,Multifinance,Motor baru,7000000,36,1.84,11636800,DPK,19,0
L1KRD000212,L1NSB00135,PLT004,2023-09-21,Multifinance,Elektronik,10000000,36,1.04,13744000,Lancar,1,0
L1KRD000213,L1NSB00135,PLT004,2022-03-21,Multifinance,Mesin usaha,20000000,18,1.26,24536000,Kurang Lancar,40,0
L1KRD000214,L1NSB00136,PLT001,2023-07-29,P2P Lending,Modal usaha,3000000,3,3.34,3300600,Lancar,1,1
