nasabah_id,ew_aktif_bulan,ew_transaksi_per_bulan,ew_avg_nominal,ew_top_up_rutin,ew_spike_sebelum_ajuan,ew_saldo_rata_rata,gig_income_avg_bln,gig_order_per_bln,gig_konsisten_6bln,gig_cancel_rate,listrik_tepat_waktu,listrik_pct_tepat,bpjs_rutin,ecom_trx_per_bln,ecom_avg_nominal,ecom_return_rate,punya_toko_online,omzet_toko_online,pulsa_bulanan,pulsa_konsisten_12bln,platform_ontime_rate,platform_late_days_avg
L1NSB00018,11,71,487000,1,0,188000,0,0,0,0.0,24,100.0,1,14,75000,0.09,0,0,70000,0,0.6,18
L1NSB00019,0,0,0,0,0,0,2728000,224,1,0.02,22,91.7,0,12,477000,0.09,0,0,25000,1,0.84,7
L1NSB00020,17,24,215000,0,0,218000,0,0,0,0.0,23,95.8,0,6,470000,0.02,0,0,118000,0,0.57,19
L1NSB00021,21,30,50000,1,0,412000,0,0,0,0.0,16,66.7,1,12,383000,0.11,0,0,135000,1,0.76,10
L1NSB00022,15,8,744000,1,0,410000,0,0,0,0.0,15,62.5,1,20,440000,0.04,0,0,114000,1,0.86,6
L1NSB00023,21,37,80000,1,0,262000,0,0,0,0.0,17,70.8,0,11,380000,0.05,0,0,76000,0,0.88,5
L1NSB00024,14,53,701000,1,0,284000,0,0,0,0.0,24,100.0,1,13,231000,0.14,0,0,88000,1,0.9,4
L1NSB00025,23,34,707000,1,0,290000,5014000,372,0,0.07,21,87.5,1,6,272000,0.15,0,0,81000,0,0.94,2
L1NSB00026,0,0,0,0,0,0,5274000,292,1,0.08,22,91.7,1,19,198000,0.04,0,0,75000,1,0.84,7
L1NSB00027,15,36,776000,1,0,182000,0,0,0,0.0,22,91.7,0,0,0,0.0,0,0,26000,1,0.91,4
L1NSB00028,0,0,0,0,0,0,4114000,80,1,0.11,23,95.8,0,5,322000,0.04,0,0,22000,0,0.64,16
L1NSB00029,11,30,610000,0,0,126000,0,0,0,0.0,21,87.5,0,4,482000,0.15,0,0,108000,1,0.99,0
L1NSB00030,6,35,605000,1,1,80000,0,0,0,0.0,19,79.2,0,17,229000,0.02,0,0,21000,0,0.7,13
L1NSB00031,11,76,126000,1,0,462000,2030000,121,1,0.09,24,100.0,1,7,472000,0.03,0,0,104000,0,0.91,4
L1NSB00032,9,19,175000,0,0,24000,0,0,0,0.0,18,75.0,0,5,255000,0.05,0,0,87000,0,0.75,11
L1NSB00033,18,28,713000,1,0,278000,4477000,303,1,0.04,24,100.0,1,11,228000,0.04,0,0,130000,1,0.91,4
L1NSB00034,8,79,267000,1,1,350000,0,0,0,0.0,18,75.0,0,11,474000,0.05,0,0,136000,1,0.97,1
L1NSB00035,19,22,515000,0,0,222000,0,0,0,0.0,21,87.5,1,6,176000,0.07,0,0,55000,1,0.85,6
L1NSB00036,21,52,463000,1,0,392000,0,0,0,0.0,16,66.7,0,13,181000,0.13,0,0,128000,0,0.67,14
L1NSB00037,9,70,700000,1,0,311000,6590000,80,1,0.04,23,95.8,1,13,173000,0.0,0,0,106000,1,0.75,11
L1NSB00038,21,12,348000,1,0,379000,0,0,0,0.0,23,95.8,1,18,326000,0.02,0,0,127000,1,0.85,6
L1NSB00039,9,27,250000,0,0,407000,0,0,0,0.0,22,91.7,1,17,321000,0.14,0,0,43000,1,0.84,7
L1NSB00040,7,23,408000,1,0,162000,0,0,0,0.0,19,79.2,1,1,489000,0.1,0,0,80000,0,0.66,15
L1NSB00041,21,51,409000,1,0,320000,6494000,82,0,0.06,23,95.8,0,0,0,0.0,0,0,26000,1,0.83,7
L1NSB00042,12,15,563000,1,0,163000,3537000,273,1,0.06,15,62.5,0,1,401000,0.1,0,0,143000,1,0.86,6
L1NSB00043,9,46,46000,1,0,68000,0,0,0,0.0,24,100.0,1,14,359000,0.02,0,0,36000,1,0.65,15
L1NSB00044,11,70,144000,1,0,324000,0,0,0,0.0,15,62.5,1,1,424000,0.08,0,0,60000,0,0.8,8
L1NSB00045,0,0,0,0,0,0,4752000,340,1,0.12,21,87.5,0,6,397000,0.07,0,0,26000,1,0.8,8
L1NSB00046,20,67,31000,1,0,445000,0,0,0,0.0,23,95.8,0,19,480000,0.11,0,0,85000,0,0.57,19
L1NSB00047,11,5,164000,1,0,423000,0,0,0,0.0,22,91.7,1,7,336000,0.07,0,0,99000,1,0.95,2
L1NSB00048,11,45,545000,1,0,34000,0,0,0,0.0,17,70.8,1,20,448000,0.01,0,0,72000,0,0.86,6
L1NSB00049,20,49,334000,1,0,380000,0,0,0,0.0,16,66.7,0,7,453000,0.06,0,0,31000,0,0.66,15
L1NSB00050,23,21,487000,0,1,394000,4068000,101,1,0.05,14,58.3,0,3,329000,0.05,0,0,63000,1,0.66,15
L1NSB00051,7,75,787000,0,0,461000,0,0,0,0.0,24,100.0,1,12,317000,0.02,0,0,126000,1,0.66,15
L1NSB00052,24,16,694000,1,0,135000,7547000,244,1,0.08,22,91.7,1,18,411000,0.05,0,0,31000,0,0.71,13
L1NSB00053,8,37,745000,1,0,252000,0,0,0,0.0,14,58.3,1,0,0,0.0,0,0,131000,0,0.8,8
L1NSB00054,6,73,651000,1,0,244000,1552000,320,1,0.12,23,95.8,1,2,368000,0.04,0,0,113000,1,0.76,10
L1NSB00055,18,49,376000,1,0,105000,5215000,269,1,0.04,21,87.5,0,3,402000,0.11,0,0,126000,1,0.93,3
L1NSB00056,0,0,0,0,0,0,0,0,0,0.0,17,70.8,0,18,231000,0.06,0,0,122000,1,0.72,12
L1NSB00057,0,0,0,0,0,0,7859000,275,1,0.14,19,79.2,1,11,303000,0.03,0,0,142000,1,0.92,3
L1NSB00058,7,26,776000,0,0,484000,7376000,197,1,0.14,18,75.0,0,9,453000,0.06,0,0,146000,1,0.88,5
L1NSB00059,0,0,0,0,0,0,0,0,0,0.0,14,58.3,0,9,398000,0.02,0,0,126000,1,0.86,6
L1NSB00060,11,18,413000,0,0,67000,0,0,0,0.0,23,95.8,1,12,322000,0.11,0,0,87000,1,0.93,3
L1NSB00061,18,45,416000,1,0,313000,0,0,0,0.0,22,91.7,1,15,61000,0.03,0,0,79000,0,0.68,14
L1NSB00062,13,67,729000,1,0,215000,7471000,166,1,0.02,19,79.2,1,18,142000,0.11,0,0,49000,1,0.63,16
L1NSB00063,0,0,0,0,0,0,1972000,246,1,0.04,15,62.5,1,1,185000,0.01,0,0,44000,0,0.75,11
L1NSB00064,10,70,190000,0,0,108000,0,0,0,0.0,14,58.3,0,2,324000,0.02,0,0,122000,1,0.93,3
L1NSB00065,0,0,0,0,0,0,5435000,221,1,0.08,22,91.7,1,20,179000,0.12,0,0,134000,1,0.58,18
L1NSB00066,11,22,139000,1,0,289000,0,0,0,0.0,20,83.3,1,10,263000,0.05,1,18000000,46000,1,0.95,2
L1NSB00067,6,60,108000,1,0,360000,0,0,0,0.0,19,79.2,0,13,491000,0.04,0,0,44000,0,0.76,10
L1NSB00068,0,0,0,0,0,0,0,0,0,0.0,19,79.2,1,11,279000,0.12,0,0,46000,1,0.69,13
L1NSB00069,19,32,529000,1,0,55000,6201000,158,1,0.11,23,95.8,1,20,347000,0.13,0,0,62000,1,0.6,18
L1NSB00070,0,0,0,0,0,0,0,0,0,0.0,17,70.8,1,20,471000,0.0,0,0,109000,0,0.86,6
L1NSB00071,11,19,428000,0,0,109000,0,0,0,0.0,20,83.3,0,3,460000,0.13,0,0,104000,0,0.57,19
L1NSB00072,7,44,735000,1,1,253000,0,0,0,0.0,24,100.0,1,5,357000,0.05,0,0,105000,1,0.7,13
L1NSB00073,19,35,726000,1,0,398000,0,0,0,0.0,15,62.5,0,4,296000,0.13,0,0,75000,1,0.62,17
L1NSB00074,16,48,138000,1,0,436000,0,0,0,0.0,23,95.8,1,5,215000,0.08,0,0,85000,1,0.94,2
L1NSB00075,11,18,750000,1,0,217000,1805000,112,1,0.07,23,95.8,0,19,183000,0.05,0,0,84000,1,0.59,18
L1NSB00076,18,32,83000,1,1,405000,0,0,0,0.0,21,87.5,1,19,254000,0.08,0,0,31000,1,0.74,11
L1NSB00077,0,0,0,0,0,0,0,0,0,0.0,24,100.0,0,9,235000,0.13,0,0,138000,0,0.67,14
L1NSB00078,7,76,797000,1,0,369000,2381000,285,1,0.12,17,70.8,1,10,383000,0.14,0,0,150000,0,0.94,2
L1NSB00079,12,65,226000,1,0,254000,0,0,0,0.0,16,66.7,0,0,0,0.0,0,0,77000,1,0.99,0
L1NSB00080,11,44,165000,1,0,386000,0,0,0,0.0,18,75.0,1,3,402000,0.09,0,0,78000,1,0.58,18
L1NSB00081,0,0,0,0,0,0,7019000,175,0,0.04,19,79.2,1,9,57000,0.01,0,0,99000,0,0.63,16
L1NSB00082,23,39,189000,1,0,90000,7178000,193,1,0.13,19,79.2,1,0,407000,0.09,0,0,43000,0,0.88,5
L1NSB00083,0,0,0,0,0,0,0,0,0,0.0,20,83.3,0,2,222000,0.06,0,0,92000,0,0.77,10
L1NSB00084,0,0,0,0,0,0,0,0,0,0.0,17,70.8,0,19,326000,0.09,0,0,29000,1,0.92,3
L1NSB00085,10,43,362000,1,0,329000,1957000,310,1,0.04,15,62.5,0,2,63000,0.1,0,0,101000,1,0.63,16
L1NSB00086,0,0,0,0,0,0,0,0,0,0.0,23,95.8,0,18,139000,0.01,0,0,117000,1,0.74,11
L1NSB00087,19,27,201000,1,0,285000,4643000,97,1,0.02,15,62.5,1,20,471000,0.08,0,0,24000,1,0.91,4
L1NSB00088,15,21,317000,1,0,160000,1518000,243,1,0.03,17,70.8,0,8,259000,0.03,0,0,78000,1,0.67,14
L1NSB00089,21,52,134000,1,0,205000,0,0,0,0.0,20,83.3,0,19,180000,0.11,0,0,112000,1,0.63,16
L1NSB00090,13,76,210000,1,0,78000,6042000,218,1,0.07,17,70.8,1,10,470000,0.12,0,0,115000,1,0.95,2
L1NSB00091,0,0,0,0,0,0,0,0,0,0.0,21,87.5,0,20,493000,0.0,0,0,128000,0,0.64,16
L1NSB00092,9,65,444000,1,0,73000,0,0,0,0.0,22,91.7,1,16,153000,0.0,0,0,107000,0,0.8,8
L1NSB00093,0,0,0,0,0,0,0,0,0,0.0,21,87.5,0,6,190000,0.15,0,0,122000,1,0.78,9
L1NSB00094,0,0,0,0,0,0,0,0,0,0.0,20,83.3,1,13,280000,0.09,0,0,24000,1,0.6,18
L1NSB00095,6,60,628000,0,0,328000,5107000,92,0,0.14,17,70.8,0,16,183000,0.12,0,0,134000,0,0.73,12
L1NSB00096,17,58,472000,1,1,183000,0,0,0,0.0,15,62.5,0,17,422000,0.08,0,0,44000,1,0.85,6
L1NSB00097,14,77,770000,1,0,365000,0,0,0,0.0,17,70.8,1,11,362000,0.13,0,0,103000,0,0.99,0
L1NSB00098,14,46,47000,1,0,219000,0,0,0,0.0,23,95.8,0,7,298000,0.05,0,0,87000,1,0.91,4
L1NSB00099,0,0,0,0,0,0,0,0,0,0.0,20,83.3,0,2,291000,0.12,0,0,104000,1,0.61,17
L1NSB00100,7,21,368000,0,0,449000,0,0,0,0.0,17,70.8,1,17,215000,0.13,0,0,64000,1,0.94,2
L1NSB00101,0,0,0,0,0,0,0,0,0,0.0,18,75.0,1,16,454000,0.01,0,0,93000,1,0.89,4
L1NSB00102,19,76,83000,1,0,272000,0,0,0,0.0,19,79.2,1,7,59000,0.11,0,0,56000,1,0.81,8
L1NSB00103,0,0,0,0,0,0,6424000,220,0,0.12,24,100.0,1,6,50000,0.11,0,0,114000,0,0.94,2
L1NSB00104,21,63,388000,1,0,34000,3271000,248,1,0.03,17,70.8,0,13,160000,0.04,0,0,74000,1,0.67,14
L1NSB00105,0,0,0,0,0,0,0,0,0,0.0,22,91.7,0,19,243000,0.11,0,0,38000,1,0.62,17
L1NSB00106,13,52,480000,1,1,375000,7584000,74,1,0.04,15,62.5,1,14,204000,0.04,0,0,129000,0,0.74,11
L1NSB00107,10,54,280000,1,0,170000,7206000,71,1,0.14,22,91.7,1,19,300000,0.12,0,0,115000,1,0.86,6
L1NSB00108,13,41,544000,1,0,191000,0,0,0,0.0,17,70.8,1,14,433000,0.07,0,0,27000,1,0.9,4
L1NSB00109,21,54,506000,1,0,22000,3672000,126,0,0.13,20,83.3,0,14,231000,0.01,0,0,109000,0,0.59,18
L1NSB00110,16,65,242000,1,0,328000,0,0,0,0.0,23,95.8,1,1,453000,0.0,0,0,91000,1,0.91,4
L1NSB00111,17,55,395000,1,0,391000,0,0,0,0.0,18,75.0,0,8,225000,0.04,0,0,105000,1,0.74,11
L1NSB00112,13,48,214000,1,0,76000,4871000,270,1,0.1,24,100.0,0,0,491000,0.14,0,0,27000,1,0.81,8
L1NSB00113,8,13,91000,1,0,309000,0,0,0,0.0,24,100.0,0,11,472000,0.06,0,0,148000,1,0.88,5
L1NSB00114,16,15,118000,1,0,172000,0,0,0,0.0,22,91.7,1,6,433000,0.14,0,0,129000,0,0.88,5
L1NSB00115,21,62,465000,1,0,401000,0,0,0,0.0,24,100.0,0,13,311000,0.07,0,0,138000,1,0.74,11
L1NSB00116,18,75,180000,1,1,200000,7332000,118,1,0.06,23,95.8,1,0,0,0.0,0,0,24000,1,0.83,7
L1NSB00117,14,26,748000,0,0,383000,0,0,0,0.0,16,66.7,1,18,410000,0.03,0,0,24000,1,0.93,3
L1NSB00118,13,73,462000,0,0,139000,0,0,0,0.0,14,58.3,1,11,84000,0.03,0,0,28000,1,0.69,13
L1NSB00119,13,32,595000,1,1,242000,7506000,306,1,0.05,18,75.0,1,9,473000,0.02,0,0,92000,0,0.97,1
L1NSB00120,11,33,546000,1,0,192000,0,0,0,0.0,15,62.5,0,17,432000,0.1,0,0,124000,1,0.97,1
L1NSB00121,21,66,339000,0,1,114000,0,0,0,0.0,19,79.2,1,2,308000,0.1,0,0,115000,0,0.96,1
L1NSB00122,19,45,577000,1,0,496000,0,0,0,0.0,23,95.8,0,16,447000,0.08,0,0,50000,1,0.82,8
L1NSB00123,0,0,0,0,0,0,4315000,368,1,0.02,23,95.8,1,16,205000,0.11,0,0,63000,1,0.8,8
L1NSB00124,18,47,399000,1,0,453000,0,0,0,0.0,15,62.5,0,12,285000,0.05,0,0,75000,1,0.97,1
L1NSB00125,9,80,255000,1,0,302000,0,0,0,0.0,15,62.5,1,17,416000,0.11,1,7000000,36000,1,0.94,2
L1NSB00126,12,38,160000,1,0,98000,4053000,130,0,0.1,19,79.2,0,18,287000,0.11,0,0,33000,1,0.88,5
L1NSB00127,9,27,94000,1,0,473000,3082000,201,0,0.02,20,83.3,1,2,150000,0.04,0,0,112000,0,0.57,19
L1NSB00128,0,0,0,0,0,0,0,0,0,0.0,15,62.5,1,10,164000,0.01,0,0,22000,1,0.79,9
L1NSB00129,9,11,661000,1,0,194000,0,0,0,0.0,23,95.8,1,17,205000,0.1,0,0,130000,0,0.91,4
L1NSB00130,16,43,152000,1,0,104000,6395000,352,0,0.07,23,95.8,1,19,186000,0.05,0,0,41000,1,0.96,1
L1NSB00131,9,7,459000,1,0,393000,0,0,0,0.0,20,83.3,0,20,244000,0.1,0,0,53000,0,0.66,15
L1NSB00132,0,0,0,0,0,0,0,0,0,0.0,15,62.5,1,12,324000,0.02,0,0,58000,1,0.83,7
L1NSB00133,21,50,683000,1,0,205000,0,0,0,0.0,23,95.8,0,18,448000,0.06,0,0,69000,1,0.77,10
L1NSB00134,8,5,41000,1,0,348000,0,0,0,0.0,24,100.0,0,20,374000,0.05,0,0,53000,1,0.76,10
L1NSB00135,12,25,179000,0,0,348000,0,0,0,0.0,21,87.5,0,8,336000,0.05,0,0,68000,1,0.97,1
L1NSB00136,0,0,0,0,0,0,0,0,0,0.0,16,66.7,1,19,229000,0.01,0,0,31000,1,1.0,0
L1NSB00137,6,23,676000,1,0,422000,0,0,0,0.0,20,83.3,0,1,197000,0.08,0,0,66000,0,0.74,11
L1NSB00138,17,43,518000,0,0,214000,0,0,0,0.0,23,95.8,1,10,71000,0.11,0,0,148000,1,0.81,8
L1NSB00139,16,60,431000,1,0,28000,0,0,0,0.0,15,62.5,0,12,218000,0.09,0,0,54000,0,0.8,8
L1NSB00140,0,0,0,0,0,0,5848000,310,1,0.07,20,83.3,1,11,267000,0.1,0,0,80000,0,0.73,12
L1NSB00141,7,58,692000,0,0,441000,6346000,61,1,0.15,17,70.8,0,17,245000,0.0,0,0,90000,1,0.75,11
L1NSB00142,8,78,660000,0,0,116000,4197000,112,1,0.11,22,91.7,0,18,458000,0.15,0,0,63000,1,0.81,8
L1NSB00143,15,14,633000,1,0,245000,6115000,74,1,0.04,21,87.5,0,4,337000,0.04,0,0,124000,1,0.84,7
L1NSB00144,24,47,776000,0,0,211000,0,0,0,0.0,21,87.5,1,0,463000,0.08,0,0,123000,1,0.79,9
L1NSB00145,19,47,419000,1,0,466000,2866000,238,1,0.14,22,91.7,0,5,496000,0.13,0,0,62000,1,0.96,1
L1NSB00146,9,72,253000,0,0,31000,5078000,311,1,0.07,18,75.0,1,13,298000,0.14,0,0,122000,0,0.91,4
L1NSB00147,13,66,305000,1,0,435000,6209000,293,1,0.02,19,79.2,0,20,152000,0.01,0,0,108000,1,0.87,5
L1NSB00148,0,0,0,0,0,0,0,0,0,0.0,23,95.8,0,20,131000,0.14,0,0,145000,0,0.87,5
L1NSB00149,14,16,732000,0,0,279000,4660000,400,1,0.14,20,83.3,1,14,215000,0.11,0,0,146000,1,0.7,13
L1NSB00150,0,0,0,0,0,0,0,0,0,0.0,18,75.0,0,19,258000,0.05,0,0,111000,1,0.75,11
L1NSB00151,0,0,0,0,0,0,0,0,0,0.0,15,62.5,0,19,256000,0.07,0,0,80000,1,0.55,20
L1NSB00152,7,77,241000,1,0,104000,1999000,106,1,0.04,14,58.3,1,2,438000,0.11,0,0,59000,0,0.68,14
L1NSB00153,10,72,317000,1,0,120000,4001000,389,1,0.08,20,83.3,1,17,74000,0.09,0,0,32000,1,0.91,4
L1NSB00154,0,0,0,0,0,0,0,0,0,0.0,22,91.7,0,1,190000,0.0,0,0,96000,1,0.58,18
L1NSB00155,0,0,0,0,0,0,4233000,162,1,0.04,22,91.7,1,12,254000,0.15,0,0,103000,0,0.74,11
L1NSB00156,6,49,280000,1,0,30000,6538000,273,1,0.05,20,83.3,1,20,408000,0.02,0,0,72000,1,0.86,6
L1NSB00157,15,78,94000,0,0,373000,0,0,0,0.0,22,91.7,1,11,259000,0.07,0,0,148000,1,0.57,19
L1NSB00158,8,50,358000,1,0,342000,6876000,161,1,0.13,24,100.0,0,15,282000,0.05,0,0,60000,1,0.74,11
L1NSB00159,12,52,437000,1,0,157000,0,0,0,0.0,20,83.3,0,0,278000,0.08,0,0,143000,1,0.59,18
L1NSB00160,24,77,132000,1,1,257000,0,0,0,0.0,19,79.2,1,0,0,0.0,0,0,59000,1,0.86,6
L1NSB00161,15,17,344000,1,0,115000,0,0,0,0.0,24,100.0,1,3,269000,0.14,1,6000000,82000,1,0.84,7
L1NSB00162,24,65,308000,1,0,204000,0,0,0,0.0,19,79.2,1,18,68000,0.07,0,0,87000,1,0.87,5
L1NSB00163,15,33,472000,1,0,62000,0,0,0,0.0,19,79.2,1,13,459000,0.08,0,0,88000,1,0.94,2
L1NSB00164,7,67,444000,1,0,162000,0,0,0,0.0,15,62.5,0,11,157000,0.05,0,0,51000,1,0.85,6
L1NSB00165,0,0,0,0,0,0,0,0,0,0.0,15,62.5,1,3,220000,0.1,0,0,93000,1,0.67,14
L1NSB00166,8,38,740000,1,0,190000,0,0,0,0.0,19,79.2,0,14,306000,0.05,0,0,89000,1,0.88,5
L1NSB00167,21,44,127000,1,0,342000,4564000,289,1,0.1,16,66.7,1,7,490000,0.02,0,0,24000,1,0.85,6
L1NSB00168,24,49,527000,1,0,259000,0,0,0,0.0,19,79.2,0,16,100000,0.1,0,0,59000,1,0.96,1
L1NSB00169,14,20,228000,1,0,389000,7529000,385,1,0.1,21,87.5,1,0,203000,0.0,0,0,133000,1,0.59,18
L1NSB00170,0,0,0,0,0,0,0,0,0,0.0,21,87.5,0,18,300000,0.11,1,8000000,94000,0,0.71,13
L1NSB00171,16,78,378000,1,0,120000,0,0,0,0.0,21,87.5,0,9,240000,0.11,0,0,26000,0,0.92,3
L1NSB00172,9,7,109000,1,0,25000,0,0,0,0.0,24,100.0,0,1,438000,0.02,0,0,118000,1,0.91,4
L1NSB00173,14,78,64000,1,0,315000,0,0,0,0.0,16,66.7,1,16,210000,0.05,0,0,59000,0,0.91,4
L1NSB00174,24,35,710000,1,0,309000,0,0,0,0.0,20,83.3,0,14,255000,0.1,0,0,70000,1,0.77,10
L1NSB00175,13,52,719000,1,0,314000,0,0,0,0.0,20,83.3,1,1,300000,0.01,0,0,74000,0,0.59,18
L1NSB00176,12,34,383000,1,0,323000,1559000,88,1,0.02,21,87.5,1,0,0,0.0,0,0,99000,0,0.84,7
L1NSB00177,13,60,444000,1,0,170000,0,0,0,0.0,21,87.5,0,18,261000,0.07,0,0,88000,1,0.56,19
L1NSB00178,6,11,497000,1,0,196000,0,0,0,0.0,24,100.0,1,13,481000,0.05,0,0,26000,1,0.99,0
L1NSB00179,16,28,715000,1,0,251000,0,0,0,0.0,23,95.8,1,8,412000,0.12,0,0,119000,1,0.81,8
L1NSB00180,8,21,718000,0,0,420000,0,0,0,0.0,16,66.7,1,2,185000,0.09,0,0,116000,0,0.6,18
L1NSB00181,21,74,611000,1,0,180000,6568000,206,1,0.12,19,79.2,0,14,185000,0.09,0,0,115000,1,0.63,16
L1NSB00182,16,40,323000,1,0,59000,0,0,0,0.0,22,91.7,0,10,93000,0.03,0,0,24000,1,0.61,17
L1NSB00183,12,75,693000,1,0,313000,0,0,0,0.0,17,70.8,1,0,0,0.0,0,0,129000,1,0.9,4
L1NSB00184,23,40,538000,1,0,353000,0,0,0,0.0,16,66.7,1,5,64000,0.14,0,0,70000,0,0.67,14
L1NSB00185,7,17,143000,0,0,116000,0,0,0,0.0,20,83.3,1,0,150000,0.0,0,0,94000,1,0.77,10
L1NSB00186,24,6,461000,1,0,65000,5952000,171,1,0.06,23,95.8,0,11,51000,0.07,0,0,36000,1,0.63,16
L1NSB00187,9,68,180000,0,0,442000,5728000,252,1,0.1,15,62.5,0,16,249000,0.12,0,0,77000,1,0.85,6
L1NSB00188,0,0,0,0,0,0,4671000,202,1,0.12,18,75.0,1,19,269000,0.07,0,0,122000,0,0.87,5
L1NSB00189,0,0,0,0,0,0,7108000,168,1,0.01,18,75.0,1,18,66000,0.14,0,0,23000,0,0.61,17
L1NSB00190,9,62,729000,0,0,387000,0,0,0,0.0,19,79.2,1,17,343000,0.01,0,0,120000,1,0.55,20
L1NSB00191,14,27,150000,1,0,44000,0,0,0,0.0,23,95.8,1,7,376000,0.14,0,0,107000,1,0.73,12
L1NSB00192,6,22,208000,0,0,485000,0,0,0,0.0,14,58.3,1,17,412000,0.08,0,0,22000,0,0.93,3
L1NSB00193,13,30,406000,1,0,433000,3941000,148,1,0.1,15,62.5,1,0,259000,0.05,0,0,41000,1,0.7,13
L1NSB00194,14,53,617000,0,0,186000,2500000,63,1,0.11,18,75.0,1,1,463000,0.11,0,0,68000,0,0.7,13
L1NSB00195,22,79,753000,1,0,487000,3306000,223,1,0.13,21,87.5,1,3,302000,0.14,0,0,26000,0,0.71,13
L1NSB00196,22,62,88000,1,0,76000,0,0,0,0.0,18,75.0,1,0,0,0.0,0,0,117000,0,0.59,18
L1NSB00197,0,0,0,0,0,0,4712000,179,1,0.04,24,100.0,1,20,334000,0.09,0,0,86000,0,0.8,8
L1NSB00198,18,63,505000,1,0,41000,0,0,0,0.0,14,58.3,0,12,193000,0.03,0,0,136000,1,0.85,6
L1NSB00199,13,15,684000,1,0,32000,0,0,0,0.0,17,70.8,1,7,140000,0.04,0,0,135000,1,0.89,4
L1NSB00200,21,38,378000,0,1,287000,0,0,0,0.0,18,75.0,0,17,489000,0.01,0,0,132000,1,0.65,15
L1NSB00201,9,74,124000,1,0,448000,0,0,0,0.0,19,79.2,0,9,133000,0.07,0,0,112000,1,0.87,5
L1NSB00202,15,66,453000,1,0,36000,5465000,344,1,0.05,21,87.5,1,11,198000,0.1,0,0,58000,1,0.91,4
L1NSB00203,0,0,0,0,0,0,0,0,0,0.0,16,66.7,0,5,248000,0.1,0,0,149000,1,0.97,1
L1NSB00204,0,0,0,0,0,0,7073000,62,1,0.09,23,95.8,1,16,182000,0.14,0,0,126000,0,0.75,11
L1NSB00205,24,28,695000,1,0,121000,0,0,0,0.0,22,91.7,1,4,259000,0.12,0,0,133000,1,0.95,2
L1NSB00206,0,0,0,0,0,0,0,0,0,0.0,21,87.5,0,19,241000,0.07,0,0,72000,1,0.95,2
L1NSB00207,19,23,415000,0,0,104000,0,0,0,0.0,21,87.5,1,2,393000,0.12,0,0,81000,1,0.61,17
L1NSB00208,23,58,206000,0,0,218000,0,0,0,0.0,22,91.7,0,20,135000,0.04,0,0,81000,0,0.61,17
L1NSB00209,24,34,288000,0,1,215000,7302000,64,1,0.14,20,83.3,0,18,182000,0.11,0,0,20000,1,0.7,13
