nasabah_id,platform_id,platform_nama,platform_tipe,platform_segmen,segmen_pekerjaan,usia,kota,jumlah_tanggungan,lama_di_platform_bln,punya_smartphone,punya_ewallet,punya_rekening_bank,punya_kartu_kredit,punya_bpjs,is_gig_worker,punya_app_gig,rating_gig_app,jam_kerja_per_hari,tgl_bergabung
L1NSB00027,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Penjahit / konveksi,30,Bogor,4,27,0,1,0,1,1,0,0,0.0,0,2022-05-08
L1NSB00028,PLT003,Adira Finance,Multifinance,Motor & elektronik,Ojek online / driver,25,Bandung,3,3,1,0,1,0,0,1,1,3.8,4,2023-02-13
L1NSB00029,PLT003,Adira Finance,Multifinance,Motor & elektronik,Pedagang pasar / warung,23,Palembang,0,18,1,1,1,1,0,0,0,0.0,0,2022-09-25
L1NSB00030,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Freelancer digital,35,Jakarta Selatan,4,7,1,1,1,0,1,1,0,0.0,0,2022-07-14
L1NSB00031,PLT003,Adira Finance,Multifinance,Motor & elektronik,Ojek online / driver,46,Jakarta Selatan,5,34,1,1,1,0,1,1,1,3.6,14,2022-02-10
L1NSB00032,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Petani / nelayan,38,Semarang,3,20,1,1,1,0,0,0,0,0.0,0,2022-07-14
L1NSB00033,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Freelancer digital,38,Bandung,1,36,1,1,0,1,1,1,1,4.2,14,2022-01-16
L1NSB00034,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Freelancer digital,37,Semarang,0,22,1,1,0,0,1,1,0,0.0,0,2022-09-01
L1NSB00035,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Karyawan kontrak,23,Surabaya,1,27,1,1,1,0,1,0,0,0.0,0,2022-01-03
L1NSB00036,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Karyawan kontrak,33,Jakarta Timur,2,34,1,1,1,0,0,0,0,0.0,0,2022-03-09
L1NSB00037,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Freelancer digital,47,Medan,2,33,1,1,1,0,1,1,1,4.6,14,2022-04-10
L1NSB00038,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Kurir / ekspedisi,34,Bekasi,1,29,1,1,0,0,1,1,0,0.0,0,2022-06-27
L1NSB00039,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Petani / nelayan,23,Bandung,4,27,1,1,0,1,1,0,0,0.0,0,2022-01-11
L1NSB00040,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Buruh pabrik,19,Tangerang,3,20,1,1,1,0,1,0,0,0.0,0,2022-11-05
L1NSB00041,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Kurir / ekspedisi,36,Bandung,3,32,0,1,1,0,0,1,1,3.7,13,2022-04-11
L1NSB00042,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Kurir / ekspedisi,20,Jakarta Barat,2,28,1,1,0,0,0,1,1,4.6,10,2022-08-04
L1NSB00043,PLT003,Adira Finance,Multifinance,Motor & elektronik,Karyawan kontrak,49,Jakarta Selatan,0,35,1,1,0,0,1,0,0,0.0,0,2022-01-02
L1NSB00044,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pedagang pasar / warung,20,Medan,2,10,1,1,0,1,1,0,0,0.0,0,2023-01-13
L1NSB00045,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Freelancer digital,26,Palembang,0,11,1,0,0,0,1,1,1,4.1,7,2023-12-09
L1NSB00046,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,38,Pekanbaru,3,8,1,1,0,0,1,1,0,0.0,0,2022-01-13
L1NSB00047,PLT004,BFI Finance,Multifinance,Motor & UMKM,Karyawan kontrak,25,Bandung,5,24,1,1,1,0,1,0,0,0.0,0,2022-05-19
L1NSB00048,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Karyawan kontrak,49,Surabaya,2,28,1,1,0,0,1,0,0,0.0,0,2022-08-19
L1NSB00049,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Karyawan kontrak,43,Tangerang,2,2,1,1,1,0,0,0,0,0.0,0,2023-07-20
L1NSB00050,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Ojek online / driver,31,Jakarta Barat,2,16,1,1,1,0,1,1,1,4.7,5,2023-02-19
L1NSB00051,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pedagang pasar / warung,42,Surabaya,2,36,1,1,1,0,1,0,0,0.0,0,2022-01-09
L1NSB00052,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,31,Tangerang,3,8,1,1,1,0,1,1,1,4.4,12,2022-04-13
L1NSB00053,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pedagang pasar / warung,42,Jakarta Timur,3,20,0,1,0,1,1,0,0,0.0,0,2022-03-06
L1NSB00054,PLT004,BFI Finance,Multifinance,Motor & UMKM,Ojek online / driver,19,Medan,2,19,1,1,0,0,1,1,1,4.7,10,2022-02-24
L1NSB00055,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,38,Jakarta Barat,2,16,1,1,1,1,0,1,1,4.2,11,2023-08-26
L1NSB00056,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pedagang pasar / warung,22,Medan,1,7,1,0,0,0,0,0,0,0.0,0,2022-03-18
L1NSB00057,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,47,Yogyakarta,3,31,1,0,1,0,1,1,1,4.9,14,2022-02-20
L1NSB00058,PLT004,BFI Finance,Multifinance,Motor & UMKM,Ojek online / driver,33,Makassar,2,10,1,1,0,0,0,1,1,4.4,8,2023-04-25
L1NSB00059,PLT003,Adira Finance,Multifinance,Motor & elektronik,Petani / nelayan,36,Semarang,2,35,1,0,0,0,0,0,0,0.0,0,2022-01-06
L1NSB00060,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pemilik UMKM kecil,20,Palembang,2,18,1,1,0,0,1,0,0,0.0,0,2023-03-23
L1NSB00061,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pemilik UMKM kecil,49,Tangerang,2,27,1,1,1,0,1,0,0,0.0,0,2022-07-25
L1NSB00062,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Ojek online / driver,24,Tangerang,0,17,1,1,1,0,1,1,1,4.3,10,2023-06-15
L1NSB00063,PLT003,Adira Finance,Multifinance,Motor & elektronik,Freelancer digital,50,Makassar,3,29,1,0,1,1,1,1,1,3.7,14,2022-03-03
L1NSB00064,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pedagang pasar / warung,19,Semarang,4,27,1,1,1,0,0,0,0,0.0,0,2022-09-13
L1NSB00065,PLT003,Adira Finance,Multifinance,Motor & elektronik,Kurir / ekspedisi,36,Bandung,2,31,1,0,1,0,1,1,1,4.8,5,2022-04-17
L1NSB00066,PLT003,Adira Finance,Multifinance,Motor & elektronik,Pemilik UMKM kecil,51,Bekasi,1,1,1,1,1,1,1,0,0,0.0,0,2024-09-18
L1NSB00067,PLT003,Adira Finance,Multifinance,Motor & elektronik,Pedagang pasar / warung,43,Surabaya,2,21,1,1,0,0,1,0,0,0.0,0,2022-06-12
L1NSB00068,PLT004,BFI Finance,Multifinance,Motor & UMKM,Petani / nelayan,43,Bandung,4,10,1,0,1,0,1,0,0,0.0,0,2023-03-27
L1NSB00069,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Kurir / ekspedisi,48,Jakarta Selatan,0,10,1,1,0,0,1,1,1,4.5,14,2022-12-03
L1NSB00070,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Buruh pabrik,39,Makassar,5,32,1,0,0,0,1,0,0,0.0,0,2022-01-24
L1NSB00071,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pemilik UMKM kecil,25,Surabaya,2,11,1,1,0,1,0,0,0,0.0,0,2022-05-30
L1NSB00072,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Kurir / ekspedisi,30,Jakarta Timur,2,12,1,1,1,0,1,1,0,0.0,0,2022-09-18
L1NSB00073,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pedagang pasar / warung,19,Bogor,3,30,1,1,0,0,0,0,0,0.0,0,2022-06-13
L1NSB00074,PLT004,BFI Finance,Multifinance,Motor & UMKM,Petani / nelayan,48,Pekanbaru,3,20,1,1,1,0,1,0,0,0.0,0,2022-12-25
L1NSB00075,PLT003,Adira Finance,Multifinance,Motor & elektronik,Ojek online / driver,44,Bekasi,4,1,1,1,1,0,1,1,1,4.9,8,2023-04-17
L1NSB00076,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Karyawan kontrak,33,Makassar,3,13,1,1,1,0,1,0,0,0.0,0,2023-10-05
L1NSB00077,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,47,Jakarta Selatan,1,24,1,0,0,0,0,0,0,0.0,0,2022-10-04
L1NSB00078,PLT003,Adira Finance,Multifinance,Motor & elektronik,Kurir / ekspedisi,36,Pekanbaru,1,11,1,1,1,1,1,1,1,3.7,5,2022-08-20
L1NSB00079,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pemilik UMKM kecil,42,Jakarta Barat,3,26,0,1,1,0,1,0,0,0.0,0,2022-07-10
L1NSB00080,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Petani / nelayan,49,Jakarta Selatan,3,36,1,1,1,0,1,0,0,0.0,0,2022-01-14
L1NSB00081,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,21,Bekasi,2,32,1,0,1,0,1,1,1,4.5,12,2022-02-09
L1NSB00082,PLT004,BFI Finance,Multifinance,Motor & UMKM,Freelancer digital,50,Medan,2,27,1,1,1,0,1,1,1,4.0,14,2022-07-03
L1NSB00083,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Buruh pabrik,31,Jakarta Barat,2,30,1,0,1,1,0,0,0,0.0,0,2022-02-02
L1NSB00084,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Pedagang pasar / warung,32,Medan,2,14,1,0,1,1,1,0,0,0.0,0,2022-05-29
L1NSB00085,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Kurir / ekspedisi,30,Jakarta Barat,3,2,1,1,1,0,0,1,1,3.7,10,2022-05-11
L1NSB00086,PLT004,BFI Finance,Multifinance,Motor & UMKM,Buruh pabrik,42,Semarang,3,7,1,0,1,0,1,0,0,0.0,0,2022-11-05
L1NSB00087,PLT004,BFI Finance,Multifinance,Motor & UMKM,Freelancer digital,20,Jakarta Selatan,0,31,1,1,0,0,1,1,1,4.0,6,2022-03-12
L1NSB00088,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Freelancer digital,39,Bandung,3,34,1,1,1,1,0,1,1,4.8,12,2022-01-28
L1NSB00089,PLT004,BFI Finance,Multifinance,Motor & UMKM,Buruh pabrik,33,Bandung,2,22,1,1,1,0,0,0,0,0.0,0,2022-03-20
L1NSB00090,PLT004,BFI Finance,Multifinance,Motor & UMKM,Ojek online / driver,24,Jakarta Barat,2,28,1,1,1,0,1,1,1,4.0,5,2022-08-05
L1NSB00091,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pemilik UMKM kecil,38,Tangerang,4,7,1,0,1,0,0,0,0,0.0,0,2023-01-12
L1NSB00092,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Karyawan kontrak,33,Palembang,0,28,1,1,1,0,1,0,0,0.0,0,2022-05-17
L1NSB00093,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,38,Bogor,3,22,1,0,0,0,0,0,0,0.0,0,2022-01-16
L1NSB00094,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Petani / nelayan,32,Bandung,3,27,1,0,0,0,1,0,0,0.0,0,2022-01-27
L1NSB00095,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,22,Makassar,1,6,1,1,1,0,0,1,1,3.7,10,2023-11-26
L1NSB00096,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Kurir / ekspedisi,38,Jakarta Selatan,2,15,1,1,0,0,0,1,0,0.0,0,2022-12-02
L1NSB00097,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,46,Jakarta Timur,4,9,1,1,1,1,1,1,0,0.0,0,2022-02-13
L1NSB00098,PLT004,BFI Finance,Multifinance,Motor & UMKM,Ojek online / driver,23,Pekanbaru,2,21,1,1,1,0,0,1,0,0.0,0,2023-02-15
L1NSB00099,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Buruh pabrik,42,Jakarta Barat,2,28,1,0,1,0,1,0,0,0.0,0,2022-06-23
L1NSB00100,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pedagang pasar / warung,29,Jakarta Barat,5,33,1,1,0,1,1,0,0,0.0,0,2022-03-24
L1NSB00101,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pedagang pasar / warung,28,Bekasi,3,13,1,0,1,0,1,0,0,0.0,0,2023-04-21
L1NSB00102,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Karyawan kontrak,47,Makassar,2,21,1,1,0,0,1,0,0,0.0,0,2022-05-21
L1NSB00103,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Ojek online / driver,51,Jakarta Barat,3,20,1,0,0,0,1,1,1,3.6,13,2022-08-25
L1NSB00104,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Kurir / ekspedisi,21,Surabaya,3,13,1,1,0,0,0,1,1,4.0,5,2022-06-26
L1NSB00105,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,47,Surabaya,2,34,1,0,0,0,1,0,0,0.0,0,2022-01-07
L1NSB00106,PLT003,Adira Finance,Multifinance,Motor & elektronik,Ojek online / driver,25,Semarang,5,25,1,1,1,1,1,1,1,4.4,6,2022-06-08
L1NSB00107,PLT004,BFI Finance,Multifinance,Motor & UMKM,Ojek online / driver,24,Bekasi,0,36,1,1,1,0,1,1,1,4.5,12,2022-01-14
L1NSB00108,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Buruh pabrik,42,Bekasi,1,12,1,1,1,0,1,0,0,0.0,0,2022-10-30
L1NSB00109,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Kurir / ekspedisi,52,Jakarta Selatan,3,22,1,1,1,0,0,1,1,4.4,6,2022-01-23
L1NSB00110,PLT004,BFI Finance,Multifinance,Motor & UMKM,Buruh pabrik,34,Surabaya,4,19,1,1,0,0,1,0,0,0.0,0,2022-07-18
L1NSB00111,PLT003,Adira Finance,Multifinance,Motor & elektronik,Petani / nelayan,47,Surabaya,3,19,1,1,1,0,0,0,0,0.0,0,2022-09-14
L1NSB00112,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Freelancer digital,42,Semarang,0,7,1,1,0,0,0,1,1,4.3,10,2022-08-16
L1NSB00113,PLT004,BFI Finance,Multifinance,Motor & UMKM,Penjahit / konveksi,20,Bandung,2,4,1,1,0,0,0,0,0,0.0,0,2022-04-12
L1NSB00114,PLT003,Adira Finance,Multifinance,Motor & elektronik,Karyawan kontrak,27,Jakarta Selatan,3,19,1,1,1,1,1,0,0,0.0,0,2022-03-23
L1NSB00115,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,28,Semarang,3,34,1,1,0,0,0,0,0,0.0,0,2022-02-28
L1NSB00116,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,50,Medan,1,35,0,1,0,0,1,1,1,3.9,10,2022-02-12
L1NSB00117,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Kurir / ekspedisi,42,Jakarta Barat,2,34,1,1,1,0,1,1,0,0.0,0,2022-02-17
L1NSB00118,PLT003,Adira Finance,Multifinance,Motor & elektronik,Petani / nelayan,41,Palembang,2,5,1,1,1,1,1,0,0,0.0,0,2022-02-15
L1NSB00119,PLT003,Adira Finance,Multifinance,Motor & elektronik,Kurir / ekspedisi,30,Pekanbaru,0,30,1,1,0,0,1,1,1,3.6,7,2022-02-21
L1NSB00120,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,38,Semarang,2,26,1,1,0,1,0,0,0,0.0,0,2022-01-25
L1NSB00121,PLT003,Adira Finance,Multifinance,Motor & elektronik,Pedagang pasar / warung,42,Bandung,2,26,1,1,0,1,1,0,0,0.0,0,2022-09-23
L1NSB00122,PLT003,Adira Finance,Multifinance,Motor & elektronik,Karyawan kontrak,46,Jakarta Barat,3,28,1,1,1,0,0,0,0,0.0,0,2022-06-06
L1NSB00123,PLT004,BFI Finance,Multifinance,Motor & UMKM,Freelancer digital,46,Jakarta Timur,0,29,1,0,1,0,1,1,1,5.0,4,2022-06-13
L1NSB00124,PLT004,BFI Finance,Multifinance,Motor & UMKM,Buruh pabrik,29,Jakarta Selatan,3,10,1,1,1,0,0,0,0,0.0,0,2023-01-06
L1NSB00125,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pemilik UMKM kecil,21,Medan,3,10,1,1,0,1,1,0,0,0.0,0,2023-02-12
L1NSB00126,PLT003,Adira Finance,Multifinance,Motor & elektronik,Freelancer digital,34,Jakarta Barat,2,2,1,1,0,0,0,1,1,4.2,13,2024-10-02
L1NSB00127,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,23,Surabaya,3,12,1,1,0,0,1,1,1,4.0,5,2022-10-25
L1NSB00128,PLT003,Adira Finance,Multifinance,Motor & elektronik,Penjahit / konveksi,30,Palembang,0,24,1,0,0,0,1,0,0,0.0,0,2022-10-11
L1NSB00129,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Buruh pabrik,27,Medan,2,6,1,1,1,0,1,0,0,0.0,0,2023-08-12
L1NSB00130,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,39,Makassar,2,5,1,1,0,1,1,1,1,3.8,6,2024-07-21
L1NSB00131,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Karyawan kontrak,52,Jakarta Timur,4,20,1,1,1,0,1,0,0,0.0,0,2023-03-10
L1NSB00132,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,36,Jakarta Timur,1,20,1,0,1,0,1,0,0,0.0,0,2022-11-16
L1NSB00133,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Pedagang pasar / warung,21,Pekanbaru,3,2,1,1,1,0,0,0,0,0.0,0,2022-03-04
L1NSB00134,PLT004,BFI Finance,Multifinance,Motor & UMKM,Penjahit / konveksi,37,Makassar,0,20,1,1,1,0,0,0,0,0.0,0,2022-08-14
L1NSB00135,PLT004,BFI Finance,Multifinance,Motor & UMKM,Kurir / ekspedisi,32,Tangerang,2,10,1,1,1,1,1,1,0,0.0,0,2023-07-30
L1NSB00136,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,48,Jakarta Barat,2,18,1,0,0,1,1,0,0,0.0,0,2022-06-13
L1NSB00137,PLT003,Adira Finance,Multifinance,Motor & elektronik,Pemilik UMKM kecil,39,Depok,5,11,1,1,1,0,0,0,0,0.0,0,2023-06-02
L1NSB00138,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pemilik UMKM kecil,32,Medan,2,23,1,1,1,1,1,0,0,0.0,0,2022-01-05
L1NSB00139,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Buruh pabrik,35,Yogyakarta,3,24,1,1,1,0,0,0,0,0.0,0,2022-02-07
L1NSB00140,PLT004,BFI Finance,Multifinance,Motor & UMKM,Kurir / ekspedisi,36,Pekanbaru,3,8,1,0,0,1,1,1,1,3.7,13,2023-05-28
L1NSB00141,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,27,Yogyakarta,5,22,1,1,0,1,0,1,1,4.0,10,2023-01-14
L1NSB00142,PLT003,Adira Finance,Multifinance,Motor & elektronik,Freelancer digital,51,Pekanbaru,2,33,1,1,0,1,1,1,1,5.0,13,2022-04-03
L1NSB00143,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Freelancer digital,35,Makassar,1,15,1,1,0,0,1,1,1,3.7,14,2023-08-10
L1NSB00144,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,47,Tangerang,4,27,1,1,1,1,1,0,0,0.0,0,2022-02-01
L1NSB00145,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Kurir / ekspedisi,39,Makassar,3,31,1,1,0,1,0,1,1,4.7,14,2022-03-09
L1NSB00146,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Kurir / ekspedisi,34,Bekasi,2,36,1,1,1,1,1,1,1,4.2,11,2022-01-09
L1NSB00147,PLT003,Adira Finance,Multifinance,Motor & elektronik,Ojek online / driver,43,Bogor,3,26,1,1,1,0,0,1,1,4.0,11,2022-09-03
L1NSB00148,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pedagang pasar / warung,36,Bogor,3,36,1,0,1,0,0,0,0,0.0,0,2022-01-08
L1NSB00149,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,45,Tangerang,2,31,1,1,0,0,1,1,1,4.9,11,2022-02-21
L1NSB00150,PLT003,Adira Finance,Multifinance,Motor & elektronik,Pedagang pasar / warung,22,Bogor,5,6,1,0,1,1,0,0,0,0.0,0,2023-03-04
L1NSB00151,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pemilik UMKM kecil,21,Pekanbaru,0,26,1,0,1,1,0,0,0,0.0,0,2022-06-02
L1NSB00152,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Freelancer digital,40,Bekasi,2,30,1,1,1,1,1,1,1,3.8,5,2022-07-07
L1NSB00153,PLT004,BFI Finance,Multifinance,Motor & UMKM,Freelancer digital,30,Jakarta Selatan,2,22,1,1,1,0,1,1,1,4.7,12,2022-07-25
L1NSB00154,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,27,Surabaya,2,21,1,0,0,0,0,0,0,0.0,0,2022-10-26
L1NSB00155,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Ojek online / driver,42,Yogyakarta,3,16,1,0,0,0,1,1,1,4.6,8,2022-10-30
L1NSB00156,PLT003,Adira Finance,Multifinance,Motor & elektronik,Freelancer digital,33,Jakarta Timur,4,31,1,1,1,0,1,1,1,4.3,14,2022-03-05
L1NSB00157,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Penjahit / konveksi,24,Semarang,5,29,1,1,1,0,1,0,0,0.0,0,2022-02-21
